Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
60 000,5 687, 167, 19,50 886,12 288,4 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,70,197074,35.51965252,,
2,Saguenay Lac St-Jean,368,277632,132.549562,,
3,Capitale-Nationale,1959,755459,259.3125504,,
4,Mauricie et Centre-du-Québec,2100,522341,402.0362177,,
5,Estrie,1074,493163,217.7778949,,
6,Montréal,29045,2065657,1406.090169,,
7,Outaouais,685,401032,170.809312,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,211,89998,234.4496544,,
12,Chaudière-Appalaches,572,430309,132.9277333,,
13,Laval,6091,442745,1375.735468,,
14,Lanaudière,4562,520092,877.1525038,,
15,Laurentides,3990,626968,636.3961159,,
16,Montérégie,8902,1432751,621.3221976,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,74.09629231,"rgb(28,129,154)",3787,,,
Alberta,252.5635907,"rgb(28,129,154)",11146,,,
Saskatchewan,115.7687536,"rgb(28,129,154)",1368,,,
Manitoba,32.15931273,"rgb(28,129,154)",443,,,
Ontario,269.3615144,"rgb(28,129,154)",39628,,,
Québec,702.6523839,"rgb(239,117,22)",60000,,,
Terre-Neuve et Labrador,51.01991887,"rgb(28,129,154)",266,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.5700374,"rgb(28,129,154)",1071,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,311.2485172,"rgb(179,30,58)",117947,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4539.615885,"rgb(28,129,154)",232016,,,
Alberta,13521.28391,"rgb(28,129,154)",596714,,,
Saskatchewan,7630.751837,"rgb(28,129,154)",90170,,,
Manitoba,6656.687358,"rgb(28,129,154)",91697,,,
Ontario,14977.1337,"rgb(28,129,154)",2203410,,,
Québec,10166.33773,"rgb(239,117,22)",868111,,,
Terre-Neuve et Labrador,4920.545108,"rgb(28,129,154)",25654,,,
Nouveau-Brunswick,6016.079631,"rgb(28,129,154)",46925,,,
Nouvelle-Écosse,6714.157247,"rgb(28,129,154)",65628,,,
Île-du-Prince-Édouard,12761.28934,"rgb(28,129,154)",20183,,,
Canada,11199.18066,"rgb(179,30,58)",4243907,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,702.6523839,"rgb(239,117,22)",60000,,,
Canada,311.2485172,"rgb(179,30,58)",117947,,,
États-Unis,1486.66483,"rgb(28,129,154)",4920900,,,
Italie,410.8691656,"rgb(28,129,154)",248419,,,
France,294.658579,"rgb(28,129,154)",192334,,,
Espagne,748.3598789,"rgb(28,129,154)",349894,,,
Allemagne,254.5941321,"rgb(28,129,154)",213309,,,
Chine,5.870187195,"rgb(28,129,154)",84491,,,
Royaume-Uni,452.4997057,"rgb(28,129,154)",307184,,,
