Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
60 133,5 687, 165, 19,50 886,16 293,5 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,70,197074,35.51965252,,
2,Saguenay Lac St-Jean,368,277632,132.549562,,
3,Capitale-Nationale,1962,755459,259.70966,,
4,Mauricie et Centre-du-Québec,2100,522341,402.0362177,,
5,Estrie,1084,493163,219.8056221,,
6,Montréal,29095,2065657,1408.510706,,
7,Outaouais,691,401032,172.3054519,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,211,89998,234.4496544,,
12,Chaudière-Appalaches,573,430309,133.1601245,,
13,Laval,6103,442745,1378.445832,,
14,Lanaudière,4573,520092,879.2675142,,
15,Laurentides,4003,626968,638.469587,,
16,Montérégie,8929,1432751,623.2066842,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
