Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
58 897,5 670, 193, 8,50 886,10 877,27 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,66,197074,33.48995809,,
2,Saguenay Lac St-Jean,367,277632,132.189373,,
3,Capitale-Nationale,1949,755459,257.9888518,,
4,Mauricie et Centre-du-Québec,2077,522341,397.6329639,,
5,Estrie,1038,493163,210.4780772,,
6,Montréal,28608,2065657,1384.934672,,
7,Outaouais,661,401032,164.8247521,,
8,Abitibi-Témiscamingue,178,147616,120.5831346,,
9,Côte-Nord,126,90033,139.9486855,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,200,89998,222.2271606,,
12,Chaudière-Appalaches,546,430309,126.8855636,,
13,Laval,6017,442745,1359.021559,,
14,Lanaudière,4477,520092,860.8092414,,
15,Laurentides,3823,626968,609.7599878,,
16,Montérégie,8699,1432751,607.1536506,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1871,,,,,
10-19 ans,2972,,,,,
20-29 ans,8078,,,,,
30-39 ans,7613,,,,,
40-49 ans,8792,,,,,
50-59 ans,8415,,,,,
60-69 ans,5132,,,,,
70-79 ans,4424,,,,,
80-89 ans,6681,,,,,
90 ans et plus,4674,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.7,"rgb(155,207, 229)",,,,
Femmes,58.3,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,104,,,,,
60-69 ans,341,,,,,
70-79 ans,1018,,,,,
80-89 ans,2271,,,,,
90 ans et plus,1904,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,68.48086165,"rgb(28,129,154)",3500,,,
Alberta,235.4329542,"rgb(28,129,154)",10390,,,
Saskatchewan,102.3131748,"rgb(28,129,154)",1209,,,
Manitoba,29.03775416,"rgb(28,129,154)",400,,,
Ontario,263.7265922,"rgb(28,129,154)",38799,,,
Québec,689.7352909,"rgb(239,117,22)",58897,,,
Terre-Neuve et Labrador,51.01991887,"rgb(28,129,154)",266,,,
Nouveau-Brunswick,21.79506739,"rgb(28,129,154)",170,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,302.8542255,"rgb(179,30,58)",114766,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,4227.754041,"rgb(28,129,154)",216077,,,
Alberta,12412.57371,"rgb(28,129,154)",547785,,,
Saskatchewan,6805.645589,"rgb(28,129,154)",80420,,,
