Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
57 001,5 646, 277, 20,26 253,12 041,15 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,63,197074,31.96768726,,
2,Saguenay Lac St-Jean,352,277632,126.7865376,,
3,Capitale-Nationale,1902,755459,251.7674685,,
4,Mauricie et Centre-du-Québec,2065,522341,395.3356141,,
5,Estrie,988,493163,200.3394415,,
6,Montréal,27786,2065657,1345.141037,,
7,Outaouais,629,401032,156.845339,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,124,90033,137.7272778,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,193,89998,214.44921,,
12,Chaudière-Appalaches,527,430309,122.4701319,,
13,Laval,5886,442745,1329.433421,,
14,Lanaudière,4333,520092,833.1218323,,
15,Laurentides,3643,626968,581.0503885,,
16,Montérégie,8278,1432751,577.7696194,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1775,,,,,
10-19 ans,2807,,,,,
20-29 ans,7457,,,,,
30-39 ans,7325,,,,,
40-49 ans,8557,,,,,
50-59 ans,8244,,,,,
60-69 ans,5068,,,,,
70-79 ans,4382,,,,,
80-89 ans,6649,,,,,
90 ans et plus,4663,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.3,"rgb(155,207, 229)",,,,
Femmes,58.7,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,101,,,,,
60-69 ans,341,,,,,
70-79 ans,1013,,,,,
80-89 ans,2264,,,,,
90 ans et plus,1898,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,61.61320953,"rgb(28,129,154)",3149,,,
Alberta,203.8001915,"rgb(28,129,154)",8994,,,
Saskatchewan,74.55575433,"rgb(28,129,154)",881,,,
Manitoba,23.95614718,"rgb(28,129,154)",330,,,
Ontario,251.8517924,"rgb(28,129,154)",37052,,,
Québec,667.5314756,"rgb(239,117,22)",57001,,,
Terre-Neuve et Labrador,50.25270204,"rgb(28,129,154)",262,,,
Nouveau-Brunswick,21.53865483,"rgb(28,129,154)",168,,,
Nouvelle-Écosse,109.1608122,"rgb(28,129,154)",1067,,,
Île-du-Prince-Édouard,22.76204808,"rgb(28,129,154)",36,,,
Canada,287.5618894,"rgb(179,30,58)",108971,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3717.356396,"rgb(28,129,154)",189991,,,
Alberta,10770.86505,"rgb(28,129,154)",475334,,,
Saskatchewan,5661.66751,"rgb(28,129,154)",66902,,,
Manitoba,5141.860318,"rgb(28,129,154)",70830,,,
Ontario,11524.87723,"rgb(28,129,154)",1695520,,,
Québec,8303.313486,"rgb(239,117,22)",709026,,,
Terre-Neuve et Labrador,4034.026066,"rgb(28,129,154)",21032,,,
Nouveau-Brunswick,5363.894291,"rgb(28,129,154)",41838,,,
Nouvelle-Écosse,6081.08592,"rgb(28,129,154)",59440,,,
Île-du-Prince-Édouard,10020.35939,"rgb(28,129,154)",15848,,,
Canada,8842.960217,"rgb(179,30,58)",3351022,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,667.5314756,"rgb(239,117,22)",57001,,,
Canada,287.5618894,"rgb(179,30,58)",108971,,,
États-Unis,1093.545018,"rgb(28,129,154)",3619663,,,
Italie,402.7433773,"rgb(28,129,154)",243506,,,
France,265.504333,"rgb(28,129,154)",173304,,,
Espagne,651.4286091,"rgb(28,129,154)",304574,,,
Allemagne,240.2381592,"rgb(28,129,154)",201281,,,
Chine,5.80911685,"rgb(28,129,154)",83612,,,
Royaume-Uni,430.001698,"rgb(28,129,154)",291911,,,
Suisse,384.6499593,"rgb(28,129,154)",33290,,,
Portugal,468.435453,"rgb(28,129,154)",47765,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,661.1958933,"rgb(239,117,22)",5646,,,
Canada,232.7496182,"rgb(179,30,58)",8820,,,
États-Unis,423.5645835,"rgb(28,129,154)",140201,,,
Italie,578.8280361,"rgb(28,129,154)",34997,,,
France,461.4429274,"rgb(28,129,154)",30120,,,
Espagne,607.7025967,"rgb(28,129,154)",28413,,,
Allemagne,109.1856003,"rgb(28,129,154)",9148,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,663.6566111,"rgb(28,129,154)",45053,,,
Suisse,227.508492,"rgb(28,129,154)",1969,,,
Portugal,164.6609705,"rgb(28,129,154)",1679,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,2,0,,,,
10-19 ans,1,0,,,,
20-29 ans,7,1,,,,
30-39 ans,2,0, ,,,
40-49 ans,9,0,,,,
50-59 ans,23,4,,,,
60-69 ans,45,6,,,,
70-79 ans,85,7,,,,
80-89 ans,77,2,,,,
90 ans et plus,26,0,,,,
