Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
56 216,5 609, 308, 27,25 616,9 278,8 juillet 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,63,197074,31.96768726,,
2,Saguenay Lac St-Jean,340,277632,122.4642692,,
3,Capitale-Nationale,1869,755459,247.3992632,,
4,Mauricie et Centre-du-Québec,2051,522341,392.6553726,,
5,Estrie,973,493163,197.2978508,,
6,Montréal,27496,2065657,1331.101921,,
7,Outaouais,615,401032,153.3543458,,
8,Abitibi-Témiscamingue,172,147616,116.5185346,,
9,Côte-Nord,121,90033,134.3951662,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,192,89998,213.3380742,,
12,Chaudière-Appalaches,522,430309,121.3081762,,
13,Laval,5855,442745,1322.431648,,
14,Lanaudière,4275,520092,821.9699592,,
15,Laurentides,3556,626968,567.1740822,,
16,Montérégie,8057,1432751,562.344748,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,1725,,,,,
10-19 ans,2684,,,,,
20-29 ans,7221,,,,,
30-39 ans,7208,,,,,
40-49 ans,8472,,,,,
50-59 ans,8176,,,,,
60-69 ans,5027,,,,,
70-79 ans,4352,,,,,
80-89 ans,6625,,,,,
90 ans et plus,4652,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,41.2,"rgb(155,207, 229)",,,,
Femmes,58.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,0,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,100,,,,,
60-69 ans,336,,,,,
70-79 ans,1005,,,,,
80-89 ans,2252,,,,,
90 ans et plus,1887,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,58.8544091,"rgb(28,129,154)",3008,,,
Alberta,192.1984906,"rgb(28,129,154)",8482,,,
Saskatchewan,68.37803576,"rgb(28,129,154)",808,,,
Manitoba,23.59317526,"rgb(28,129,154)",325,,,
Ontario,245.9109939,"rgb(28,129,154)",36178,,,
Québec,658.3384402,"rgb(239,117,22)",56216,,,
Terre-Neuve et Labrador,50.06089784,"rgb(28,129,154)",261,,,
Nouveau-Brunswick,21.154036,"rgb(28,129,154)",165,,,
Nouvelle-Écosse,109.0585059,"rgb(28,129,154)",1066,,,
Île-du-Prince-Édouard,20.23293163,"rgb(28,129,154)",32,,,
Canada,281.2285665,"rgb(179,30,58)",106571,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,3457.676969,"rgb(28,129,154)",176719,,,
Alberta,9876.106524,"rgb(28,129,154)",435847,,,
Saskatchewan,5258.931035,"rgb(28,129,154)",62143,,,
Manitoba,4818.089359,"rgb(28,129,154)",66370,,,
Ontario,10404.05791,"rgb(28,129,154)",1530627,,,
Québec,7687.918817,"rgb(239,117,22)",656477,,,
Terre-Neuve et Labrador,3724.070469,"rgb(28,129,154)",19416,,,
Nouveau-Brunswick,5123.892137,"rgb(28,129,154)",39966,,,
Nouvelle-Écosse,5825.524806,"rgb(28,129,154)",56942,,,
Île-du-Prince-Édouard,8467.481885,"rgb(28,129,154)",13392,,,
Canada,8082.623687,"rgb(179,30,58)",3062894,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,658.3384402,"rgb(239,117,22)",56216,,,
Canada,281.2285665,"rgb(179,30,58)",106571,,,
États-Unis,954.9793606,"rgb(28,129,154)",3161007,,,
Italie,400.4989859,"rgb(28,129,154)",242149,,,
