Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
61 741,5 744, 115, 12,54 761,12 037,23 août 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,74,197074,37.54934695,,
2,Saguenay Lac St-Jean,375,277632,135.0708852,,
3,Capitale-Nationale,2025,755459,268.048961,,
4,Mauricie et Centre-du-Québec,2127,522341,407.2052548,,
5,Estrie,1167,493163,236.6357573,,
6,Montréal,29621,2065657,1433.97476,,
7,Outaouais,769,401032,191.7552714,,
8,Abitibi-Témiscamingue,180,147616,121.9380013,,
9,Côte-Nord,127,90033,141.0593893,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,211,89998,234.4496544,,
12,Chaudière-Appalaches,594,430309,138.0403385,,
13,Laval,6237,442745,1408.711561,,
14,Lanaudière,4786,520092,920.2218069,,
15,Laurentides,4152,626968,662.2347552,,
16,Montérégie,9229,1432751,644.1454237,,
17,Nunavik,17,14260,119.2145863,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2055,,,,,
10-19 ans,3328,,,,,
20-29 ans,8893,,,,,
30-39 ans,8069,,,,,
40-49 ans,9197,,,,,
50-59 ans,8760,,,,,
60-69 ans,5308,,,,,
70-79 ans,4549,,,,,
80-89 ans,6785,,,,,
90 ans et plus,4726,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.2,"rgb(155,207, 229)",,,,
Femmes,57.8,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,106,,,,,
60-69 ans,347,,,,,
70-79 ans,1030,,,,,
80-89 ans,2302,,,,,
90 ans et plus,1929,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
