Tuiles de l'accueil,,,,,,
cas,deces,hospit,soins,gueris,analyses,date
63 497,5 769, 102, 18,55 871,17 064,5 septembre 2020
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Graphique 5 et 6: Carte et tableaux des régions,,,,,,
Key,State,Cas,Population,Taux,,
1,Bas St-Laurent,78,197074,39.57904138,,
2,Saguenay Lac St-Jean,380,277632,136.8718303,,
3,Capitale-Nationale,2233,755459,295.5818913,,
4,Mauricie et Centre-du-Québec,2156,522341,412.7571835,,
5,Estrie,1356,493163,274.9598003,,
6,Montréal,30085,2065657,1456.437347,,
7,Outaouais,894,401032,222.9248539,,
8,Abitibi-Témiscamingue,189,147616,128.0349014,,
9,Côte-Nord,130,90033,144.3915009,,
10,Nord du Québec,8,13558,59.00575306,,
11,Gaspésie Îles de la Madeleine,215,89998,238.8941976,,
12,Chaudière-Appalaches,641,430309,148.9627221,,
13,Laval,6388,442745,1442.816971,,
14,Lanaudière,4887,520092,939.6414481,,
15,Laurentides,4307,626968,686.9569101,,
16,Montérégie,9489,1432751,662.2923313,,
17,Nunavik,18,14260,126.227209,,
18,Terres-Cries-de-la-Baie-James,10,18385,54.39216753,,
Graphique 7: Répartitions des cas confirmés (Âge),,,,,,
Groupe d'âge,Proportion de cas confirmés,,,,,
0-9 ans,2177,,,,,
10-19 ans,3518,,,,,
20-29 ans,9294,,,,,
30-39 ans,8354,,,,,
40-49 ans,9436,,,,,
50-59 ans,8963,,,,,
60-69 ans,5436,,,,,
70-79 ans,4654,,,,,
80-89 ans,6842,,,,,
90 ans et plus,4752,,,,,
Graphique 7: Répartition des cas confirmés (Sexe),,,,,,
Sexe,Répartition de cas,Couleur,,,,
Hommes,42.4,"rgb(155,207, 229)",,,,
Femmes,57.6,"rgb(255,178,196)",,,,
Graphique 8: Répartition des décès (Âge),,,,,,
Groupe d'âge,Nombre de décès,,,,,
0-9 ans,0,,,,,
10-19 ans,1,,,,,
20-29 ans,3,,,,,
30-39 ans,6,,,,,
40-49 ans,20,,,,,
50-59 ans,109,,,,,
60-69 ans,350,,,,,
70-79 ans,1033,,,,,
80-89 ans,2313,,,,,
90 ans et plus,1934,,,,,
Graphique 8: Répartition des décès (Sexe),,,,,,
Sexe,Répartition de décès,Couleur,,,,
Hommes,45.0,"rgb(155,207, 229)",,,,
Femmes,55.0,"rgb(255,178,196)",,,,
,,,,,,
,,,,,,
Graphique 9: Cas confirmés selon la province,,,,,,
Province,Taux,Couleur,Nombre de cas,,,
Colombie-Britannique,120.5654484,"rgb(28,129,154)",6162,,,
Alberta,327.9746467,"rgb(28,129,154)",14474,,,
Saskatchewan,139.0409811,"rgb(28,129,154)",1643,,,
Manitoba,93.93713471,"rgb(28,129,154)",1294,,,
Ontario,292.3022409,"rgb(28,129,154)",43003,,,
Québec,743.605307,"rgb(239,117,22)",63497,,,
Terre-Neuve et Labrador,51.78713569,"rgb(28,129,154)",270,,,
Nouveau-Brunswick,24.61560552,"rgb(28,129,154)",192,,,
Nouvelle-Écosse,111.0023254,"rgb(28,129,154)",1085,,,
Île-du-Prince-Édouard,29.71711832,"rgb(28,129,154)",47,,,
Canada,347.5410966,"rgb(179,30,58)",131700,,,
,,,,,,
,,,,,,
Graphique 10 - Tests réalisés selon la province,,,,,,
Province,Taux,Couleur,Nombre de tests,,,
Colombie-Britannique,6374.668186,"rgb(28,129,154)",325804,,,
Alberta,17968.24759,"rgb(28,129,154)",792965,,,
Saskatchewan,10514.39239,"rgb(28,129,154)",124245,,,
Manitoba,10004.15966,"rgb(28,129,154)",137809,,,
Ontario,20365.76422,"rgb(28,129,154)",2996176,,,
Québec,13617.37978,"rgb(239,117,22)",1162798,,,
Terre-Neuve et Labrador,6364.063564,"rgb(28,129,154)",33180,,,
Nouveau-Brunswick,7121.858786,"rgb(28,129,154)",55550,,,
Nouvelle-Écosse,8206.908335,"rgb(28,129,154)",80219,,,
Île-du-Prince-Édouard,18451.80136,"rgb(28,129,154)",29183,,,
Canada,15163.47138,"rgb(179,30,58)",5746167,,,
,,,,,,
,,,,,,
Graphique 11 - Cas confirmés par pays,,,,,,
Pays,Taux,Couleur,Nombre de cas,,,
Québec,743.605307,"rgb(239,117,22)",63497,,,
Canada,347.5410966,"rgb(179,30,58)",131700,,,
États-Unis,1943.249995,"rgb(28,129,154)",6432209,,,
Italie,457.0454091,"rgb(28,129,154)",276338,,,
France,486.7303675,"rgb(28,129,154)",317706,,,
Espagne,1106.053803,"rgb(28,129,154)",517133,,,
Allemagne,299.6576599,"rgb(28,129,154)",251065,,,
Chine,5.914027227,"rgb(28,129,154)",85122,,,
Royaume-Uni,506.9733734,"rgb(28,129,154)",344164,,,
Suisse,513.0322272,"rgb(28,129,154)",44401,,,
Portugal,587.8661439,"rgb(28,129,154)",59943,,,
,,,,,,
,,,,,,
Graphique 12 - Décès par pays,,,,,,
Pays,Taux,Couleur,Nombre de morts,,,
Québec,675.6002671,"rgb(239,117,22)",5769,,,
Canada,241.2732154,"rgb(179,30,58)",9143,,,
États-Unis,582.6660283,"rgb(28,129,154)",192864,,,
Italie,587.7096732,"rgb(28,129,154)",35534,,,
France,470.6962982,"rgb(28,129,154)",30724,,,
Espagne,629.1977261,"rgb(28,129,154)",29418,,,
Allemagne,112.205272,"rgb(28,129,154)",9401,,,
Chine,3.219567464,"rgb(28,129,154)",4634,,,
Royaume-Uni,612.0406751,"rgb(28,129,154)",41549,,,
Suisse,232.5924806,"rgb(28,129,154)",2013,,,
Portugal,180.2542369,"rgb(28,129,154)",1838,,,
,,,,,,
,,,,,,
Graphique 3 (Tarte) - Répartiton des hospitalisations (À venir),,,,,,
Groupe d'âge,Nombre,SI,,,,
0-9 ans,1,1,,,,
10-19 ans,0,0,,,,
20-29 ans,2,0,,,,
30-39 ans,1,1, ,,,
40-49 ans,5,3,,,,
50-59 ans,12,4,,,,
60-69 ans,17,2,,,,
70-79 ans,30,6,,,,
80-89 ans,21,1,,,,
90 ans et plus,13,0,,,,
