"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","9.8","1","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","41.6","7","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","262.8","174","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","192.6","86","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","134.8","88","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","174","126","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","247.3","101","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","130","146","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","273.1","263","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","137.4","86","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","248.1","284","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","132.9","103","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","157.4","206","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","166.5","191","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","474","545","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","187.8","229","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","132","121","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","99.8","21","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","46.4","4","8629"
"23","Cardston County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","109.4","18","16459"
"24","City Of Airdrie","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","352.8","247","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","215.2","40","18586"
"26","City Of Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","285","55","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","205.2","2766","1347732"
"28","City Of Camrose","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","130","28","21543"
"29","City Of Chestermere","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","392.2","82","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","35.4","7","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","251","2564","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","179.5","48","26738"
"33","City Of Grande Prairie","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","141.1","104","73697"
"34","City Of Lacombe","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","101.9","19","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","121.1","40","33017"
"36","City Of Lethbridge","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","203.1","201","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","26.9","6","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","41.1","28","68057"
"39","City Of Red Deer","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","88.7","94","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","89","33","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","140.7","97","68923"
"42","City Of Wetaskiwin","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","154.8","26","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","33.4","1","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","29.6","6","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","59.3","6","10116"
"46","County Of Forty Mile No. 8","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","419","27","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","95.8","30","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","28.9","3","10380"
"49","County Of Newell","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","284.2","23","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","54","2","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","109.1","18","16493"
