"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","136.4","18","13196"
"2","Beaver County","Open","Help prevent the spread","88.3","9","10191"
"3","Big Lakes County","Open","Help prevent the spread","16.3","2","12234"
"4","Birch Hills County","Open","Help prevent the spread","67.6","1","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","243.5","41","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","324.8","215","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","273.2","122","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","275.8","180","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","339.6","246","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","293.9","120","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","193.2","217","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","375.9","362","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","103.9","65","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","269.1","308","114470"
"15","Calgary - Nosehill","Enhanced","Help prevent the spread","214.2","166","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","240.6","315","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","235.4","270","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","828","952","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","177.2","216","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","251.9","231","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","242.4","51","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","255","22","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","206.6","34","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","360","252","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","500.4","93","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","222.8","43","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","299.4","4035","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","278.5","60","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","320.5","67","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","313.7","62","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","483.2","4936","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","231.9","62","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","115.3","85","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","101.9","19","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","384.6","127","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","190.9","189","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","4.5","1","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","146.9","100","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","140.6","149","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","275.1","102","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","323.5","223","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","392.9","66","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Enhanced","Enhanced measures in place","59.1","12","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","49.4","5","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","263.8","17","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","121.3","38","31319"
"48","County Of Minburn No. 27","Open","Help prevent the spread","67.4","7","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","259.5","21","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","108.1","4","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","25.3","1","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","291","48","16493"
"53","County Of Stettler No. 6","Open","Help prevent the spread","16.1","2","12449"
