"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","22.7","3","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","29.4","3","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","8.2","1","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","23.8","4","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","128.4","85","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","136.6","61","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","69","45","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","95.3","69","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","127.3","52","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","61.4","69","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","139.1","134","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","94.3","59","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","113.6","130","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","74.8","58","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","106.2","139","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","88","101","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","365.3","420","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","109.9","134","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","79.6","73","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","57","12","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","46.4","4","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","36.5","6","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","102.8","72","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","150.7","28","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","124.4","24","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","121","1631","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","32.5","7","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","263.1","55","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","86","17","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","183","1870","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","29.9","8","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","124.8","92","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","10.7","2","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","72.7","24","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","156.6","155","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","4.5","1","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","10.3","7","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","35.9","38","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","83.6","31","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","181.4","125","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","65.5","11","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","24.6","5","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","49.4","5","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","93.1","6","6443"
"47","County Of Grande Prairie No. 1","Watch","Gathering Restrictions          Public Health Orders","57.5","18","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","19.3","2","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","98.9","8","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","36.4","6","16493"
