"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","0","0","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","0","0","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","5.9","1","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","33.2","22","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","31.3","14","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","21.5","14","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","37.3","27","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","17.1","7","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","12.5","14","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","71.7","69","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","27.2","17","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","25.3","29","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","12.9","10","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","19.1","25","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","19.2","22","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","90.5","104","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","28.7","35","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","15.3","14","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","23.8","5","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","2.9","2","70009"
"25","City Of Beaumont","Open","Gathering Restrictions          Public Health Orders","0","0","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","31.1","6","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","31.7","427","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","4.6","1","21543"
"29","City Of Chestermere","Open","Gathering Restrictions          Public Health Orders","23.9","5","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","0","0","19763"
"31","City Of Edmonton","Watch","Gathering Restrictions          Public Health Orders","70.2","717","1021628"
