"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","7.6","1","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","9.8","1","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","47.5","8","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","193.4","128","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","145.5","65","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","93.5","61","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","121.5","88","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","178.8","73","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","98","110","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","219.1","211","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","124.7","78","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","184.3","211","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","105.8","82","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","149.7","196","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","129","148","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","420.9","484","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","131.2","160","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","100.3","92","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","57","12","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","23.2","2","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","42.5","7","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","178.5","125","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","150.7","28","18586"
