"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","0","0","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","29.4","3","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","24.5","3","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","135.2","2","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","5.9","1","16839"
"6","Calgary - Centre","Watch","Gathering Restrictions          Public Health Orders","68","45","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","22.4","10","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","21.5","14","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","19.3","14","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","46.5","19","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","18.7","21","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","78.9","76","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","30.4","19","62572"
"14","Calgary - North","Watch","Gathering Restrictions          Public Health Orders","60.3","69","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","32.3","25","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","24.4","32","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","16.6","19","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","149.6","172","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","46.8","57","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","28.4","26","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","42.8","9","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","37.1","26","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","48.4","9","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","20.7","4","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","46.5","627","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","4.6","1","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","95.7","20","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","0","0","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","120","1226","1021628"
