"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","75.8","10","13196"
"2","Beaver County","Open","Help prevent the spread","58.9","6","10191"
"3","Big Lakes County","Open","Help prevent the spread","16.3","2","12234"
"4","Birch Hills County","Open","Help prevent the spread","0","0","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","178.2","30","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","330.8","219","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","248.5","111","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","245.2","160","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","295.5","214","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","264.5","108","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","184.3","207","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","316.7","305","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","123.1","77","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","276.9","317","114470"
"15","Calgary - Nosehill","Enhanced","Help prevent the spread","194.8","151","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","236.8","310","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","214.5","246","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","674.9","776","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","158.3","193","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","222.5","204","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","218.6","46","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","185.4","16","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","182.3","30","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","397.1","278","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","457.3","85","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","222.8","43","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","270.4","3644","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","213.5","46","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","334.8","70","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","192.3","38","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","421.8","4309","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","209.4","56","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","116.7","86","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","75.1","14","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","354.4","117","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","163.7","162","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","13.5","3","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","133.7","91","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","118.9","126","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","223.9","83","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","287.3","198","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","345.3","58","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Open","Help prevent the spread","44.3","9","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","49.4","5","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","357","23","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","134.1","42","31319"
"48","County Of Minburn No. 27","Open","Help prevent the spread","57.8","6","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","308.9","25","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","135.1","5","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","0","0","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","206.2","34","16493"
"53","County Of Stettler No. 6","Open","Help prevent the spread","16.1","2","12449"
"54","County Of Two Hills No. 21","Open","Help prevent the spread","17.9","1","5596"
"55","County Of Vermilion River","Open","Help prevent the spread","7.7","1","12907"
"56","County Of Warner No. 5","Enhanced","Enhanced measures in place","118.2","13","10994"
"57","County Of Wetaskiwin No. 10","Enhanced","Enhanced measures in place","196.4","20","10181"
"58","Cypress County","Enhanced","Enhanced measures in place","365.5","41","11218"
"59","Edmonton - Abbottsfield","Enhanced","Enhanced measures in place","309.5","45","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Enhanced measures in place","300.3","290","96574"
"61","Edmonton - Castle Downs","Enhanced","Enhanced measures in place","672.1","474","70526"
"62","Edmonton - Duggan","Enhanced","Enhanced measures in place","254.8","103","40428"
"63","Edmonton - Eastwood","Enhanced","Enhanced measures in place","409.1","297","72600"
"64","Edmonton - Jasper Place","Enhanced","Enhanced measures in place","380.3","179","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Enhanced measures in place","566.4","470","82983"
"66","Edmonton - Mill Woods West","Enhanced","Enhanced measures in place","412.7","211","51122"
