"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","7.6","1","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","0","0","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","0","0","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","48.3","32","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","35.8","16","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","23","15","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","42.8","31","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","26.9","11","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","21.4","24","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","88.3","85","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","20.8","13","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","28","32","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","20.6","16","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","19.1","25","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","25.3","29","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","88.7","102","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","19.7","24","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","16.4","15","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","38","8","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","11.6","1","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","24.3","4","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","10","7","70009"
"25","City Of Beaumont","Open","Gathering Restrictions          Public Health Orders","0","0","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","10.4","2","19297"
