"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","39.3","4","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","8.2","1","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","67.6","1","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","23.8","4","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","126.9","84","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","134.3","60","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","70.5","46","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","75.9","55","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","120","49","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","56.1","63","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","126.7","122","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","91.1","57","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","102.2","117","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","69.7","54","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","103.1","135","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","83.7","96","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","368.8","424","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","110.7","135","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","77.4","71","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","52.3","11","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","57.9","5","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","36.5","6","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","80","56","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","139.9","26","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","134.7","26","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","116.5","1570","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","32.5","7","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","244","51","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","91.1","18","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","180.8","1847","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","41.1","11","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","126.2","93","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","10.7","2","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","69.7","23","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","158.6","157","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","13.5","3","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","10.3","7","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","32.1","34","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","94.4","35","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","181.4","125","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","65.5","11","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","19.7","4","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","79.1","8","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","46.6","3","6443"
"47","County Of Grande Prairie No. 1","Watch","Gathering Restrictions          Public Health Orders","60.7","19","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","19.3","2","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","98.9","8","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","24.3","4","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","54.6","6","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","44.6","5","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","123.8","18","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","103.5","100","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","299.2","211","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","131.1","53","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","158.4","115","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","114.7","54","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","213.3","177","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","219.1","112","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","171","152","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","208.7","172","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","197.8","206","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","129.5","98","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","165.3","167","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","268.3","162","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","157","51","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","35","3","8560"
"75","Foothills County","Watch","Gathering Restrictions          Public Health Orders","58.3","13","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
