"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","39.3","4","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","8.2","1","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","67.6","1","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","29.7","5","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","113.3","75","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","132.1","59","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","64.4","42","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","63.5","46","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","105.3","43","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","53.4","60","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","117.3","113","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","81.5","51","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","97.8","112","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","69.7","54","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","89.4","117","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","77.6","89","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","361.8","416","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","108.3","132","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","74.2","68","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","52.3","11","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","57.9","5","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","24.3","4","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","60","42","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","139.9","26","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","155.5","30","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","109.8","1480","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","23.2","5","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","191.3","40","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","86","17","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","184.6","1886","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","41.1","11","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","139.8","103","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","10.7","2","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","66.6","22","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","156.6","155","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","13.5","3","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","10.3","7","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","34.9","37","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","99.8","37","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","184.3","127","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","65.5","11","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","100.1","3","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","19.7","4","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","79.1","8","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","62.1","4","6443"
"47","County Of Grande Prairie No. 1","Watch","Gathering Restrictions          Public Health Orders","60.7","19","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","19.3","2","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","111.2","9","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","24.3","4","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","45.5","5","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","44.6","5","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","151.3","22","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","98.4","95","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","316.2","223","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","141","57","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","163.9","119","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","131.7","62","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","220.5","183","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","219.1","112","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","168.7","150","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","220.9","182","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","199.7","208","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","132.1","100","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","163.3","165","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","260","157","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","163.2","53","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","23.4","2","8560"
"75","Foothills County","Open","Gathering Restrictions          Public Health Orders","49.3","11","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
