"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Enhanced","Enhanced measures in place","113.7","15","13196"
"2","Beaver County","Open","Help prevent the spread","68.7","7","10191"
"3","Big Lakes County","Open","Help prevent the spread","24.5","3","12234"
"4","Birch Hills County","Open","Help prevent the spread","0","0","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","219.7","37","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","352","233","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","262","117","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","249.8","163","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","301","218","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","266.9","109","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","193.2","217","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","320.9","309","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","115.1","72","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","287.4","329","114470"
"15","Calgary - Nosehill","Enhanced","Help prevent the spread","202.6","157","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","236","309","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","224","257","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","728","837","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","163.2","199","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","227.9","209","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","213.9","45","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","208.6","18","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","200.5","33","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","414.2","290","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","500.4","93","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","228","44","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","280.4","3779","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","232.1","50","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","325.3","68","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","253","50","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","460.1","4701","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","209.4","56","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","111.3","82","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","91.2","17","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","369.5","122","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","177.8","176","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","26.9","6","22277"
"38","City Of Medicine Hat","Enhanced","Enhanced measures in place","148.4","101","68057"
"39","City Of Red Deer","Enhanced","Enhanced measures in place","133.1","141","105939"
"40","City Of Spruce Grove","Enhanced","Enhanced measures in place","250.8","93","37076"
"41","City Of St. Albert","Enhanced","Enhanced measures in place","306.1","211","68923"
"42","City Of Wetaskiwin","Enhanced","Enhanced measures in place","381","64","16799"
"43","Clear Hills County","Open","Help prevent the spread","0","0","2998"
"44","Clearwater County","Enhanced","Enhanced measures in place","54.2","11","20304"
"45","County Of Barrhead No. 11","Open","Help prevent the spread","49.4","5","10116"
"46","County Of Forty Mile No. 8","Enhanced","Enhanced measures in place","357","23","6443"
"47","County Of Grande Prairie No. 1","Enhanced","Enhanced measures in place","134.1","42","31319"
"48","County Of Minburn No. 27","Open","Help prevent the spread","67.4","7","10380"
"49","County Of Newell","Enhanced","Enhanced measures in place","284.2","23","8093"
"50","County Of Northern Lights","Open","Help prevent the spread","135.1","5","3702"
"51","County Of Paintearth No. 18","Open","Help prevent the spread","25.3","1","3947"
"52","County Of St. Paul No. 19","Enhanced","Enhanced measures in place","230.4","38","16493"
"53","County Of Stettler No. 6","Open","Help prevent the spread","24.1","3","12449"
"54","County Of Two Hills No. 21","Open","Help prevent the spread","17.9","1","5596"
"55","County Of Vermilion River","Open","Help prevent the spread","7.7","1","12907"
"56","County Of Warner No. 5","Enhanced","Enhanced measures in place","145.5","16","10994"
"57","County Of Wetaskiwin No. 10","Enhanced","Enhanced measures in place","186.6","19","10181"
"58","Cypress County","Enhanced","Enhanced measures in place","347.6","39","11218"
"59","Edmonton - Abbottsfield","Enhanced","Enhanced measures in place","419.5","61","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Enhanced measures in place","312.7","302","96574"
"61","Edmonton - Castle Downs","Enhanced","Enhanced measures in place","718.9","507","70526"
"62","Edmonton - Duggan","Enhanced","Enhanced measures in place","284.5","115","40428"
"63","Edmonton - Eastwood","Enhanced","Enhanced measures in place","455.9","331","72600"
"64","Edmonton - Jasper Place","Enhanced","Enhanced measures in place","465.3","219","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Enhanced measures in place","596.5","495","82983"
"66","Edmonton - Mill Woods West","Enhanced","Enhanced measures in place","451.9","231","51122"
"67","Edmonton - Ne","Enhanced","Enhanced measures in place","542.2","482","88901"
"68","Edmonton - Northgate","Enhanced","Enhanced measures in place","600.7","495","82404"
"69","Edmonton - Rutherford","Enhanced","Enhanced measures in place","501.2","522","104153"
"70","Edmonton - Twin Brooks","Enhanced","Enhanced measures in place","280.1","212","75685"
"71","Edmonton - West Jasper Place","Enhanced","Enhanced measures in place","321.6","325","101046"
"72","Edmonton - Woodcroft East","Enhanced","Enhanced measures in place","433.9","262","60381"
"73","Edmonton - Woodcroft West","Enhanced","Enhanced measures in place","428","139","32479"
"74","Flagstaff County","Enhanced","Enhanced measures in place","116.8","10","8560"
"75","Foothills County","Enhanced","Enhanced measures in place","300.6","67","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Help prevent the spread","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Help prevent the spread","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Help prevent the spread","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Help prevent the spread","0","0","0"
"80","I.d. No. 349","Open","Help prevent the spread","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Help prevent the spread","0","0","166"
"82","I.d. No. 9 (Banff)","Enhanced","Enhanced measures in place","1097.6","152","13849"
"83","Kananaskis Improvement District","Open","Help prevent the spread","0","0","1"
"84","Kneehill County","Enhanced","Enhanced measures in place","128.3","14","10909"
"85","Lac La Biche County","Enhanced","Enhanced measures in place","206.9","21","10150"
"86","Lac Ste. Anne County","Enhanced","Enhanced measures in place","151.2","25","16534"
"87","Lacombe County","Enhanced","Enhanced measures in place","128.6","28","21779"
"88","Lamont County","Open","Help prevent the spread","88.8","7","7881"
"89","Leduc County","Enhanced","Enhanced measures in place","304.7","73","23958"
"90","Lethbridge County","Enhanced","Enhanced measures in place","297.3","75","25228"
"91","Mackenzie County","Open","Help prevent the spread","41.4","10","24171"
"92","Mountain View County","Enhanced","Enhanced measures in place","56.8","13","22893"
"93","Municipal District Of Acadia No. 34","Open","Help prevent the spread","1629.7","6","368"
"94","Municipal District Of Bighorn No. 8","Open","Help prevent the spread","99.9","5","5004"
"95","Municipal District Of Bonnyville No. 87","Enhanced","Enhanced measures in place","145.9","26","17826"
"96","Municipal District Of Fairview No. 136","Open","Help prevent the spread","158.1","8","5061"
"97","Municipal District Of Greenview No. 16","Enhanced","Enhanced measures in place","265.6","40","15058"
"98","Municipal District Of Lesser Slave River No. 124","Enhanced","Enhanced measures in place","92.7","10","10790"
"99","Municipal District Of Opportunity No. 17","Enhanced","Enhanced measures in place","195.6","13","6646"
"100","Municipal District Of Peace No. 135","Enhanced","Enhanced measures in place","219.8","35","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Help prevent the spread","60.2","5","8302"
"102","Municipal District Of Provost No. 52","Open","Help prevent the spread","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Help prevent the spread","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Help prevent the spread","45.4","2","4410"
"105","Municipal District Of Spirit River No. 133","Open","Help prevent the spread","32.3","1","3092"
"106","Municipal District Of Taber","Enhanced","Enhanced measures in place","561.9","106","18863"
"107","Municipal District Of Wainwright No. 61","Open","Help prevent the spread","50.8","6","11810"
"108","Municipal District Of Willow Creek No. 26","Enhanced","Enhanced measures in place","91.3","15","16427"
"109","Municipality Of Crowsnest Pass","Open","Help prevent the spread","31.6","2","6321"
"110","Municipality Of Jasper","Enhanced","Enhanced measures in place","373.9","21","5616"
"111","Northern Sunrise County","Open","Help prevent the spread","62.7","2","3188"
"112","Parkland County","Enhanced","Enhanced measures in place","325.1","108","33223"
"113","Ponoka County","Enhanced","Enhanced measures in place","771.8","212","27468"
"114","Red Deer County","Enhanced","Enhanced measures in place","133.3","44","33017"
"115","Regional Municipality Of Wood Buffalo","Enhanced","Enhanced measures in place","208.5","173","82974"
"116","Rocky View County","Enhanced","Enhanced measures in place","306.6","133","43377"
"117","Saddle Hills County","Open","Help prevent the spread","262.6","4","1523"
"118","Smoky Lake County","Enhanced","Enhanced measures in place","795.6","67","8421"
"119","Special Areas No. 2","Open","Help prevent the spread","21.9","1","4556"
"120","Special Areas No. 3","Open","Help prevent the spread","81.6","2","2451"
"121","Special Areas No. 4","Open","Help prevent the spread","93.1","2","2149"
"122","Starland County","Open","Help prevent the spread","155.6","3","1928"
"123","Strathcona County","Enhanced","Enhanced measures in place","355.6","351","98714"
"124","Sturgeon County","Enhanced","Enhanced measures in place","336.1","94","27964"
"125","Thorhild County","Open","Help prevent the spread","36.7","1","2726"
"126","Town Of Canmore","Enhanced","Enhanced measures in place","319.6","52","16273"
"127","Town Of Cochrane","Enhanced","Enhanced measures in place","93","31","33328"
"128","Town Of Drumheller","Enhanced","Enhanced measures in place","699.5","63","9006"
"129","Town Of High River","Enhanced","Enhanced measures in place","114.1","19","16650"
"130","Town Of Hinton","Open","Help prevent the spread","76.6","9","11742"
"131","Town Of Morinville","Enhanced","Enhanced measures in place","247.1","28","11332"
"132","Town Of Okotoks","Enhanced","Enhanced measures in place","185.7","65","34999"
"133","Town Of Olds","Enhanced","Enhanced measures in place","88.3","11","12452"
"134","Town Of Stony Plain","Enhanced","Enhanced measures in place","301","61","20264"
"135","Town Of Strathmore","Enhanced","Enhanced measures in place","113.2","21","18550"
"136","Town Of Sylvan Lake","Enhanced","Enhanced measures in place","142.6","24","16829"
"137","Town Of Whitecourt","Open","Help prevent the spread","62.8","9","14322"
"138","Vulcan County","Enhanced","Enhanced measures in place","1200.6","111","9245"
"139","Westlock County","Enhanced","Enhanced measures in place","109.7","15","13673"
"140","Wheatland County","Enhanced","Enhanced measures in place","400.8","27","6737"
"141","Woodlands County","Open","Help prevent the spread","0","0","1358"
"142","Yellowhead County","Enhanced","Enhanced measures in place","71.2","14","19658"
