"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","7.6","1","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","29.4","3","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","40.9","5","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","11.9","2","16839"
"6","Calgary - Centre","Watch","Gathering Restrictions          Public Health Orders","86.1","57","66198"
"7","Calgary - Centre North","Watch","Gathering Restrictions          Public Health Orders","80.6","36","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","44.4","29","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","24.9","18","72430"
"10","Calgary - Elbow","Watch","Gathering Restrictions          Public Health Orders","56.3","23","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","20.5","23","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","97.6","94","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","33.6","21","62572"
"14","Calgary - North","Watch","Gathering Restrictions          Public Health Orders","65.5","75","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","45.2","35","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","42","55","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","37.5","43","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","253.1","291","114978"
"19","Calgary - Upper Nw","Watch","Gathering Restrictions          Public Health Orders","59.1","72","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","43.6","40","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","42.8","9","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","11.6","1","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","37.1","26","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","69.9","13","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","82.9","16","19297"
"27","City Of Calgary","Watch","Gathering Restrictions          Public Health Orders","68","917","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","13.9","3","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","76.5","16","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","25.3","5","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","129","1318","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","44.9","12","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","77.3","57","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","48.3","9","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","54.5","18","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","143.5","142","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","13.5","3","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","4.4","3","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","36.8","39","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","43.2","16","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","94.3","65","68923"
"42","City Of Wetaskiwin","Open","Gathering Restrictions          Public Health Orders","11.9","2","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","100.1","3","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","0","0","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","79.1","8","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","62.1","4","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","22.4","7","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","0","0","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","61.8","5","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","54","2","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","25.3","1","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","6.1","1","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","56.2","7","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","0","0","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","9.1","1","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","9.8","1","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","17.8","2","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","171.9","25","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","81.8","79","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","212.7","150","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","118.7","48","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","104.7","76","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","91.4","43","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","147","122","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","133","68","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","139.5","124","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","166.3","137","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","113.3","118","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","92.5","70","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","119.7","121","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","168.9","102","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","113.9","37","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","0","0","8560"
"75","Foothills County","Open","Gathering Restrictions          Public Health Orders","31.4","7","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","7.2","1","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","0","0","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","29.6","3","10150"
"86","Lac Ste. Anne County","Open","Gathering Restrictions          Public Health Orders","36.3","6","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","45.9","10","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","50.8","4","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","37.6","9","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","79.3","20","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","24.8","6","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","26.2","6","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","59.9","3","5004"
"95","Municipal District Of Bonnyville No. 87","Open","Gathering Restrictions          Public Health Orders","22.4","4","17826"
"96","Municipal District Of Fairview No. 136","Open","Gathering Restrictions          Public Health Orders","0","0","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","13.3","2","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","9.3","1","10790"
"99","Municipal District Of Opportunity No. 17","Open","Gathering Restrictions          Public Health Orders","90.3","6","6646"
"100","Municipal District Of Peace No. 135","Open","Gathering Restrictions          Public Health Orders","6.3","1","15922"
