"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Help prevent the spread","53","7","13196"
"2","Beaver County","Open","Help prevent the spread","29.4","3","10191"
"3","Big Lakes County","Open","Help prevent the spread","16.3","2","12234"
"4","Birch Hills County","Open","Help prevent the spread","0","0","1479"
"5","Brazeau County","Enhanced","Enhanced measures in place","166.3","28","16839"
"6","Calgary - Centre","Enhanced","Enhanced measures in place","332.3","220","66198"
"7","Calgary - Centre North","Enhanced","Enhanced measures in place","228.4","102","44663"
"8","Calgary - Centre West","Enhanced","Enhanced measures in place","236","154","65260"
"9","Calgary - East","Enhanced","Enhanced measures in place","269.2","195","72430"
"10","Calgary - Elbow","Enhanced","Enhanced measures in place","257.1","105","40835"
"11","Calgary - Fish Creek","Enhanced","Enhanced measures in place","168.3","189","112298"
"12","Calgary - Lower Ne","Enhanced","Enhanced measures in place","282.4","272","96301"
"13","Calgary - Lower Nw","Enhanced","Enhanced measures in place","147","92","62572"
"14","Calgary - North","Enhanced","Enhanced measures in place","263.8","302","114470"
"15","Calgary - Nosehill","Enhanced","Help prevent the spread","176.8","137","77497"
"16","Calgary - Se","Enhanced","Enhanced measures in place","220.8","289","130916"
"17","Calgary - Sw","Enhanced","Enhanced measures in place","205.7","236","114710"
"18","Calgary - Upper Ne","Enhanced","Enhanced measures in place","601.9","692","114978"
"19","Calgary - Upper Nw","Enhanced","Enhanced measures in place","147.6","180","121916"
"20","Calgary - West","Enhanced","Enhanced measures in place","211.6","194","91700"
"21","Calgary - West Bow","Enhanced","Enhanced measures in place","223.4","47","21039"
"22","Camrose County","Enhanced","Enhanced measures in place","162.2","14","8629"
"23","Cardston County","Enhanced","Enhanced measures in place The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","139.7","23","16459"
"24","City Of Airdrie","Enhanced","Enhanced measures in place","398.5","279","70009"
"25","City Of Beaumont","Enhanced","Enhanced measures in place","387.4","72","18586"
"26","City Of Brooks","Enhanced","Enhanced measures in place","186.6","36","19297"
"27","City Of Calgary","Enhanced","Enhanced measures in place","252.6","3405","1347732"
"28","City Of Camrose","Enhanced","Enhanced measures in place","143.9","31","21543"
"29","City Of Chestermere","Enhanced","Enhanced measures in place","306.1","64","20905"
"30","City Of Cold Lake","Enhanced","Enhanced measures in place","177.1","35","19763"
"31","City Of Edmonton","Enhanced","Enhanced measures in place","349.7","3573","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Enhanced measures in place","216.9","58","26738"
"33","City Of Grande Prairie","Enhanced","Enhanced measures in place","114","84","73697"
"34","City Of Lacombe","Enhanced","Enhanced measures in place","75.1","14","18640"
"35","City Of Leduc","Enhanced","Enhanced measures in place","293.8","97","33017"
"36","City Of Lethbridge","Enhanced","Enhanced measures in place","158.6","157","98987"
"37","City Of Lloydminster","Open","Help prevent the spread","13.5","3","22277"
