"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","39.3","4","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","16.3","2","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","17.8","3","16839"
"6","Calgary - Centre","Watch","Gathering Restrictions          Public Health Orders","78.6","52","66198"
"7","Calgary - Centre North","Watch","Gathering Restrictions          Public Health Orders","100.8","45","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","49","32","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","44.2","32","72430"
"10","Calgary - Elbow","Watch","Gathering Restrictions          Public Health Orders","90.6","37","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","35.6","40","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","115.3","111","96301"
"13","Calgary - Lower Nw","Watch","Gathering Restrictions          Public Health Orders","55.9","35","62572"
"14","Calgary - North","Watch","Gathering Restrictions          Public Health Orders","80.4","92","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","46.5","36","77497"
"16","Calgary - Se","Watch","Gathering Restrictions          Public Health Orders","55.8","73","130916"
"17","Calgary - Sw","Watch","Gathering Restrictions          Public Health Orders","50.6","58","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","307","353","114978"
"19","Calgary - Upper Nw","Watch","Gathering Restrictions          Public Health Orders","88.6","108","121916"
"20","Calgary - West","Watch","Gathering Restrictions          Public Health Orders","58.9","54","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","47.5","10","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","23.2","2","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","37.1","26","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","118.4","22","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","114","22","19297"
"27","City Of Calgary","Watch","Gathering Restrictions          Public Health Orders","86.1","1160","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","9.3","2","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","124.4","26","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","35.4","7","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","142.2","1453","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","33.7","9","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","84.1","62","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","21.5","4","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","45.4","15","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","162.6","161","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","9","2","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","7.3","5","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","29.3","31","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","59.3","22","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","132","91","68923"
"42","City Of Wetaskiwin","Open","Gathering Restrictions          Public Health Orders","29.8","5","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","14.8","3","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","59.3","6","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","31","2","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","38.3","12","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","9.6","1","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","61.8","5","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","18.2","3","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","16.1","2","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","9.1","1","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","35.7","4","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","171.9","25","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","87","84","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","249.6","176","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","101.4","41","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","125.3","91","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","99.9","47","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","144.6","120","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","142.8","73","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","139.5","124","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","190.5","157","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","129.6","135","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","96.5","73","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","138.6","140","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","195.4","118","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","153.9","50","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","0","0","8560"
"75","Foothills County","Open","Gathering Restrictions          Public Health Orders","35.9","8","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
