"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","7.6","1","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","68.7","7","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","0","0","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","43.8","29","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","9","4","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","33.7","22","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","34.5","25","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","22","9","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","10.7","12","112298"
"12","Calgary - Lower Ne","Open","Gathering Restrictions          Public Health Orders","39.5","38","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","9.6","6","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","21.8","25","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","20.6","16","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","15.3","20","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","13.9","16","114710"
"18","Calgary - Upper Ne","Open","Gathering Restrictions          Public Health Orders","45.2","52","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","12.3","15","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","16.4","15","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","9.5","2","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","6.1","1","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","10","7","70009"
"25","City Of Beaumont","Open","Gathering Restrictions          Public Health Orders","0","0","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","20.7","4","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","22.7","306","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","0","0","21543"
"29","City Of Chestermere","Open","Gathering Restrictions          Public Health Orders","23.9","5","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","0","0","19763"
"31","City Of Edmonton","Watch","Gathering Restrictions          Public Health Orders","53.5","547","1021628"
"32","City Of Fort Saskatchewan","Open","Gathering Restrictions          Public Health Orders","0","0","26738"
"33","City Of Grande Prairie","Open","Gathering Restrictions          Public Health Orders","35.3","26","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","0","0","18640"
