"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","22.7","3","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","39.3","4","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","8.2","1","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","67.6","1","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","35.6","6","16839"
"6","Calgary - Centre","Watch","Gathering Restrictions          Public Health Orders","105.7","70","66198"
"7","Calgary - Centre North","Watch","Gathering Restrictions          Public Health Orders","118.7","53","44663"
"8","Calgary - Centre West","Watch","Gathering Restrictions          Public Health Orders","61.3","40","65260"
"9","Calgary - East","Watch","Gathering Restrictions          Public Health Orders","51.1","37","72430"
"10","Calgary - Elbow","Watch","Gathering Restrictions          Public Health Orders","95.5","39","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","45.4","51","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","117.3","113","96301"
"13","Calgary - Lower Nw","Watch","Gathering Restrictions          Public Health Orders","65.5","41","62572"
"14","Calgary - North","Watch","Gathering Restrictions          Public Health Orders","87.4","100","114470"
"15","Calgary - Nosehill","Watch","Gathering Restrictions          Public Health Orders","55.5","43","77497"
"16","Calgary - Se","Watch","Gathering Restrictions          Public Health Orders","76.4","100","130916"
"17","Calgary - Sw","Watch","Gathering Restrictions          Public Health Orders","67.1","77","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","356.6","410","114978"
"19","Calgary - Upper Nw","Watch","Gathering Restrictions          Public Health Orders","107.5","131","121916"
"20","Calgary - West","Watch","Gathering Restrictions          Public Health Orders","65.4","60","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","47.5","10","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","46.4","4","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","24.3","4","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","57.1","40","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","139.9","26","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","155.5","30","19297"
"27","City Of Calgary","Watch","Gathering Restrictions          Public Health Orders","101.4","1366","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","27.9","6","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","153.1","32","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","65.8","13","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","174.8","1786","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","41.1","11","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","123.5","91","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","5.4","1","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","54.5","18","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","162.6","161","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","13.5","3","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","8.8","6","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","36.8","39","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","102.5","38","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","179.9","124","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","65.5","11","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","100.1","3","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","14.8","3","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","79.1","8","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","46.6","3","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","47.9","15","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","9.6","1","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","86.5","7","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","18.2","3","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","0","0","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","54.6","6","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","44.6","5","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","151.3","22","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","93.2","90","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","307.7","217","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","128.6","52","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","163.9","119","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","116.9","55","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","202.5","168","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","180","92","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","159.7","142","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","217.2","179","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","184.3","192","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","126.8","96","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","158.3","160","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","248.4","150","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","166.3","54","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","11.7","1","8560"
"75","Foothills County","Open","Gathering Restrictions          Public Health Orders","49.3","11","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","0","0","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","45.8","5","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","0","0","10150"
"86","Lac Ste. Anne County","Watch","Gathering Restrictions          Public Health Orders","108.9","18","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","27.5","6","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","50.8","4","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","71","17","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","91.2","23","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","24.8","6","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","0","0","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","99.9","5","5004"
"95","Municipal District Of Bonnyville No. 87","Open","Gathering Restrictions          Public Health Orders","33.7","6","17826"
"96","Municipal District Of Fairview No. 136","Open","Gathering Restrictions          Public Health Orders","0","0","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","26.6","4","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","46.3","5","10790"
"99","Municipal District Of Opportunity No. 17","Watch","Gathering Restrictions          Public Health Orders","165.5","11","6646"
"100","Municipal District Of Peace No. 135","Open","Gathering Restrictions          Public Health Orders","31.4","5","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","0","0","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"104","Municipal District Of Smoky River No. 130","Open","Gathering Restrictions          Public Health Orders","22.7","1","4410"
"105","Municipal District Of Spirit River No. 133","Watch","Gathering Restrictions          Public Health Orders","388.1","12","3092"
"106","Municipal District Of Taber","Open","Gathering Restrictions          Public Health Orders","31.8","6","18863"
"107","Municipal District Of Wainwright No. 61","Open","Gathering Restrictions          Public Health Orders","16.9","2","11810"
"108","Municipal District Of Willow Creek No. 26","Watch","Gathering Restrictions          Public Health Orders","67","11","16427"
"109","Municipality Of Crowsnest Pass","Open","Gathering Restrictions          Public Health Orders","15.8","1","6321"
"110","Municipality Of Jasper","Watch","Gathering Restrictions          Public Health Orders","249.3","14","5616"
"111","Northern Sunrise County","Open","Gathering Restrictions          Public Health Orders","0","0","3188"
"112","Parkland County","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","90.3","30","33223"
"113","Ponoka County","Watch","Gathering Restrictions          Public Health Orders","163.8","45","27468"
"114","Red Deer County","Open","Gathering Restrictions          Public Health Orders","30.3","10","33017"
"115","Regional Municipality Of Wood Buffalo","Watch","Gathering Restrictions          Public Health Orders","61.5","51","82974"
"116","Rocky View County","Watch","Gathering Restrictions          Public Health Orders","71.5","31","43377"
"117","Saddle Hills County","Open","Gathering Restrictions          Public Health Orders","65.7","1","1523"
"118","Smoky Lake County","Open","Gathering Restrictions          Public Health Orders","106.9","9","8421"
