"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","22.7","3","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","0","0","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","0","0","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","48.3","32","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","38.1","17","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","24.5","16","65260"
"9","Calgary - East","Watch","Gathering Restrictions          Public Health Orders","64.9","47","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","36.7","15","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","24","27","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","102.8","99","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","4.8","3","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","44.6","51","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","20.6","16","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","12.2","16","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","21.8","25","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","93.9","108","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","12.3","15","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","19.6","18","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","33.3","7","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","11.6","1","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","22.9","16","70009"
"25","City Of Beaumont","Open","Gathering Restrictions          Public Health Orders","0","0","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","10.4","2","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","38","512","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","0","0","21543"
"29","City Of Chestermere","Open","Gathering Restrictions          Public Health Orders","43.1","9","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","5.1","1","19763"
"31","City Of Edmonton","Watch","Gathering Restrictions          Public Health Orders","53.1","542","1021628"
"32","City Of Fort Saskatchewan","Open","Gathering Restrictions          Public Health Orders","11.2","3","26738"
"33","City Of Grande Prairie","Open","Gathering Restrictions          Public Health Orders","17.6","13","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","5.4","1","18640"
"35","City Of Leduc","Open","Gathering Restrictions          Public Health Orders","9.1","3","33017"
"36","City Of Lethbridge","Open","Gathering Restrictions          Public Health Orders","11.1","11","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","0","0","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","4.4","3","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","16","17","105939"
"40","City Of Spruce Grove","Open","Gathering Restrictions          Public Health Orders","16.2","6","37076"
"41","City Of St. Albert","Open","Gathering Restrictions          Public Health Orders","16","11","68923"
"42","City Of Wetaskiwin","Open","Gathering Restrictions          Public Health Orders","11.9","2","16799"
"43","Clear Hills County","Watch","Gathering Restrictions          Public Health Orders","633.8","19","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","0","0","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","0","0","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","62.1","4","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","9.6","3","31319"
