"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","15.2","2","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","39.3","4","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","0","0","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","0","0","16839"
"6","Calgary - Centre","Open","Gathering Restrictions          Public Health Orders","45.3","30","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","11.2","5","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","29.1","19","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","33.1","24","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","29.4","12","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","9.8","11","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","50.9","49","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","4.8","3","62572"
"14","Calgary - North","Open","Gathering Restrictions          Public Health Orders","27.1","31","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","23.2","18","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","14.5","19","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","14.8","17","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","53.1","61","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","9.8","12","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","16.4","15","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","9.5","2","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","6.1","1","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","20","14","70009"
"25","City Of Beaumont","Open","Gathering Restrictions          Public Health Orders","0","0","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","15.5","3","19297"
"27","City Of Calgary","Open","Gathering Restrictions          Public Health Orders","24.3","328","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","0","0","21543"
"29","City Of Chestermere","Open","Gathering Restrictions          Public Health Orders","38.3","8","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","0","0","19763"
"31","City Of Edmonton","Watch","Gathering Restrictions          Public Health Orders","51.5","526","1021628"
"32","City Of Fort Saskatchewan","Open","Gathering Restrictions          Public Health Orders","0","0","26738"
"33","City Of Grande Prairie","Open","Gathering Restrictions          Public Health Orders","36.6","27","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","0","0","18640"
"35","City Of Leduc","Open","Gathering Restrictions          Public Health Orders","6.1","2","33017"
"36","City Of Lethbridge","Open","Gathering Restrictions          Public Health Orders","2","2","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","4.5","1","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","0","0","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","5.7","6","105939"
"40","City Of Spruce Grove","Open","Gathering Restrictions          Public Health Orders","2.7","1","37076"
"41","City Of St. Albert","Open","Gathering Restrictions          Public Health Orders","23.2","16","68923"
"42","City Of Wetaskiwin","Open","Gathering Restrictions          Public Health Orders","6","1","16799"
"43","Clear Hills County","Watch","Gathering Restrictions          Public Health Orders","433.7","13","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","0","0","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","9.9","1","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","15.5","1","6443"
"47","County Of Grande Prairie No. 1","Open","Gathering Restrictions          Public Health Orders","44.7","14","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","0","0","10380"
"49","County Of Newell","Open","Gathering Restrictions          Public Health Orders","37.1","3","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","189.1","7","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Open","Gathering Restrictions          Public Health Orders","6.1","1","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","17.9","1","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","45.5","5","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","0","0","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","0","0","11218"
"59","Edmonton - Abbottsfield","Watch","Gathering Restrictions          Public Health Orders","75.7","11","14540"
"60","Edmonton - Bonnie Doon","Open","Gathering Restrictions          Public Health Orders","25.9","25","96574"
"61","Edmonton - Castle Downs","Watch","Gathering Restrictions          Public Health Orders","90.7","64","70526"
"62","Edmonton - Duggan","Open","Gathering Restrictions          Public Health Orders","34.6","14","40428"
"63","Edmonton - Eastwood","Watch","Gathering Restrictions          Public Health Orders","60.6","44","72600"
"64","Edmonton - Jasper Place","Open","Gathering Restrictions          Public Health Orders","42.5","20","47069"
"65","Edmonton - Mill Woods South & East","Open","Gathering Restrictions          Public Health Orders","36.2","30","82983"
"66","Edmonton - Mill Woods West","Open","Gathering Restrictions          Public Health Orders","31.3","16","51122"
"67","Edmonton - Ne","Watch","Gathering Restrictions          Public Health Orders","109.1","97","88901"
"68","Edmonton - Northgate","Watch","Gathering Restrictions          Public Health Orders","128.6","106","82404"
"69","Edmonton - Rutherford","Open","Gathering Restrictions          Public Health Orders","34.6","36","104153"
"70","Edmonton - Twin Brooks","Open","Gathering Restrictions          Public Health Orders","17.2","13","75685"
"71","Edmonton - West Jasper Place","Open","Gathering Restrictions          Public Health Orders","24.7","25","101046"
"72","Edmonton - Woodcroft East","Open","Gathering Restrictions          Public Health Orders","36.4","22","60381"
"73","Edmonton - Woodcroft West","Open","Gathering Restrictions          Public Health Orders","9.2","3","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","0","0","8560"
"75","Foothills County","Open","Gathering Restrictions          Public Health Orders","17.9","4","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","0","0","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","9.2","1","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","0","0","10150"
"86","Lac Ste. Anne County","Open","Gathering Restrictions          Public Health Orders","0","0","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","18.4","4","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","12.7","1","7881"
