"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","22.7","3","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","19.6","2","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","8.2","1","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","0","0","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","35.6","6","16839"
"6","Calgary - Centre","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","137.5","91","66198"
"7","Calgary - Centre North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","136.6","61","44663"
"8","Calgary - Centre West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","78.1","51","65260"
"9","Calgary - East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","96.6","70","72430"
"10","Calgary - Elbow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","161.6","66","40835"
"11","Calgary - Fish Creek","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","69.5","78","112298"
"12","Calgary - Lower Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","167.2","161","96301"
"13","Calgary - Lower Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","97.5","61","62572"
"14","Calgary - North","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","129.3","148","114470"
"15","Calgary - Nosehill","Enhanced","Gathering Restrictions          Public Health Orders","85.2","66","77497"
"16","Calgary - Se","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","124.5","163","130916"
"17","Calgary - Sw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","100.3","115","114710"
"18","Calgary - Upper Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","369.6","425","114978"
"19","Calgary - Upper Nw","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","106.6","130","121916"
"20","Calgary - West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","81.8","75","91700"
"21","Calgary - West Bow","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","57","12","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","46.4","4","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","36.5","6","16459"
"24","City Of Airdrie","Watch","Gathering Restrictions          Public Health Orders","115.7","81","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","161.4","30","18586"
"26","City Of Brooks","Watch","Gathering Restrictions          Public Health Orders","186.6","36","19297"
"27","City Of Calgary","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","130.8","1763","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","37.1","8","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","320.5","67","20905"
"30","City Of Cold Lake","Watch","Gathering Restrictions          Public Health Orders","91.1","18","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","185","1890","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","48.6","13","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","123.5","91","73697"
"34","City Of Lacombe","Open","Gathering Restrictions          Public Health Orders","10.7","2","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","54.5","18","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","160.6","159","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","0","0","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","11.8","8","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","43.4","46","105939"
"40","City Of Spruce Grove","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","89","33","37076"
"41","City Of St. Albert","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","171.2","118","68923"
"42","City Of Wetaskiwin","Watch","Gathering Restrictions          Public Health Orders","71.4","12","16799"
"43","Clear Hills County","Open","Gathering Restrictions          Public Health Orders","66.7","2","2998"
"44","Clearwater County","Open","Gathering Restrictions          Public Health Orders","29.6","6","20304"
"45","County Of Barrhead No. 11","Open","Gathering Restrictions          Public Health Orders","49.4","5","10116"
"46","County Of Forty Mile No. 8","Open","Gathering Restrictions          Public Health Orders","124.2","8","6443"
"47","County Of Grande Prairie No. 1","Watch","Gathering Restrictions          Public Health Orders","67.1","21","31319"
"48","County Of Minburn No. 27","Open","Gathering Restrictions          Public Health Orders","19.3","2","10380"
"49","County Of Newell","Watch","Gathering Restrictions          Public Health Orders","135.9","11","8093"
"50","County Of Northern Lights","Open","Gathering Restrictions          Public Health Orders","27","1","3702"
"51","County Of Paintearth No. 18","Open","Gathering Restrictions          Public Health Orders","0","0","3947"
"52","County Of St. Paul No. 19","Watch","Gathering Restrictions          Public Health Orders","60.6","10","16493"
"53","County Of Stettler No. 6","Open","Gathering Restrictions          Public Health Orders","0","0","12449"
"54","County Of Two Hills No. 21","Open","Gathering Restrictions          Public Health Orders","17.9","1","5596"
"55","County Of Vermilion River","Open","Gathering Restrictions          Public Health Orders","7.7","1","12907"
"56","County Of Warner No. 5","Open","Gathering Restrictions          Public Health Orders","54.6","6","10994"
"57","County Of Wetaskiwin No. 10","Open","Gathering Restrictions          Public Health Orders","19.6","2","10181"
"58","Cypress County","Open","Gathering Restrictions          Public Health Orders","26.7","3","11218"
"59","Edmonton - Abbottsfield","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","137.6","20","14540"
"60","Edmonton - Bonnie Doon","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","120.1","116","96574"
"61","Edmonton - Castle Downs","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","300.6","212","70526"
"62","Edmonton - Duggan","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","158.3","64","40428"
"63","Edmonton - Eastwood","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","157","114","72600"
"64","Edmonton - Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","114.7","54","47069"
"65","Edmonton - Mill Woods South & East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","231.4","192","82983"
"66","Edmonton - Mill Woods West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","197.6","101","51122"
"67","Edmonton - Ne","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","165.4","147","88901"
"68","Edmonton - Northgate","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","222.1","183","82404"
"69","Edmonton - Rutherford","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","210.3","219","104153"
"70","Edmonton - Twin Brooks","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","115","87","75685"
"71","Edmonton - West Jasper Place","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","158.3","160","101046"
"72","Edmonton - Woodcroft East","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","286.5","173","60381"
"73","Edmonton - Woodcroft West","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","150.9","49","32479"
"74","Flagstaff County","Open","Gathering Restrictions          Public Health Orders","35","3","8560"
"75","Foothills County","Watch","Gathering Restrictions          Public Health Orders","62.8","14","22291"
"76","I.d. No. 12 (Jasper National Park)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"77","I.d. No. 13 (Elk Island)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"78","I.d. No. 24 (Wood Buffalo)","Open","Gathering Restrictions          Public Health Orders","0","0","565"
"79","I.d. No. 25 (Willmore Wilderness)","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"80","I.d. No. 349","Open","Gathering Restrictions          Public Health Orders","0","0","0"
"81","I.d. No. 4 (Waterton)","Open","Gathering Restrictions          Public Health Orders","0","0","166"
"82","I.d. No. 9 (Banff)","Open","Gathering Restrictions          Public Health Orders","21.7","3","13849"
"83","Kananaskis Improvement District","Open","Gathering Restrictions          Public Health Orders","0","0","1"
"84","Kneehill County","Open","Gathering Restrictions          Public Health Orders","82.5","9","10909"
"85","Lac La Biche County","Open","Gathering Restrictions          Public Health Orders","9.9","1","10150"
"86","Lac Ste. Anne County","Watch","Gathering Restrictions          Public Health Orders","193.5","32","16534"
"87","Lacombe County","Open","Gathering Restrictions          Public Health Orders","23","5","21779"
"88","Lamont County","Open","Gathering Restrictions          Public Health Orders","63.4","5","7881"
"89","Leduc County","Enhanced","Gathering Restrictions          Public Health Orders  Current measures in place","83.5","20","23958"
"90","Lethbridge County","Watch","Gathering Restrictions          Public Health Orders","107","27","25228"
"91","Mackenzie County","Open","Gathering Restrictions          Public Health Orders","29","7","24171"
"92","Mountain View County","Open","Gathering Restrictions          Public Health Orders","8.7","2","22893"
"93","Municipal District Of Acadia No. 34","Open","Gathering Restrictions          Public Health Orders","0","0","368"
"94","Municipal District Of Bighorn No. 8","Open","Gathering Restrictions          Public Health Orders","79.9","4","5004"
"95","Municipal District Of Bonnyville No. 87","Watch","Gathering Restrictions          Public Health Orders","61.7","11","17826"
"96","Municipal District Of Fairview No. 136","Open","Gathering Restrictions          Public Health Orders","177.8","9","5061"
"97","Municipal District Of Greenview No. 16","Open","Gathering Restrictions          Public Health Orders","39.8","6","15058"
"98","Municipal District Of Lesser Slave River No. 124","Open","Gathering Restrictions          Public Health Orders","37.1","4","10790"
"99","Municipal District Of Opportunity No. 17","Watch","Gathering Restrictions          Public Health Orders","150.5","10","6646"
"100","Municipal District Of Peace No. 135","Watch","Gathering Restrictions          Public Health Orders","62.8","10","15922"
"101","Municipal District Of Pincher Creek No. 9","Open","Gathering Restrictions          Public Health Orders","0","0","8302"
"102","Municipal District Of Provost No. 52","Open","Gathering Restrictions          Public Health Orders","41.4","2","4828"
"103","Municipal District Of Ranchland No. 66","Open","Gathering Restrictions          Public Health Orders","0","0","0"
