"","Region name","Region classification","Measures","Active case rate (per 100,000 population)","Active cases","Population"
"1","Athabasca County","Open","Gathering Restrictions          Public Health Orders","7.6","1","13196"
"2","Beaver County","Open","Gathering Restrictions          Public Health Orders","19.6","2","10191"
"3","Big Lakes County","Open","Gathering Restrictions          Public Health Orders","40.9","5","12234"
"4","Birch Hills County","Open","Gathering Restrictions          Public Health Orders","135.2","2","1479"
"5","Brazeau County","Open","Gathering Restrictions          Public Health Orders","17.8","3","16839"
"6","Calgary - Centre","Watch","Gathering Restrictions          Public Health Orders","75.5","50","66198"
"7","Calgary - Centre North","Open","Gathering Restrictions          Public Health Orders","38.1","17","44663"
"8","Calgary - Centre West","Open","Gathering Restrictions          Public Health Orders","30.6","20","65260"
"9","Calgary - East","Open","Gathering Restrictions          Public Health Orders","19.3","14","72430"
"10","Calgary - Elbow","Open","Gathering Restrictions          Public Health Orders","44.1","18","40835"
"11","Calgary - Fish Creek","Open","Gathering Restrictions          Public Health Orders","13.4","15","112298"
"12","Calgary - Lower Ne","Watch","Gathering Restrictions          Public Health Orders","87.2","84","96301"
"13","Calgary - Lower Nw","Open","Gathering Restrictions          Public Health Orders","27.2","17","62572"
"14","Calgary - North","Watch","Gathering Restrictions          Public Health Orders","54.2","62","114470"
"15","Calgary - Nosehill","Open","Gathering Restrictions          Public Health Orders","40","31","77497"
"16","Calgary - Se","Open","Gathering Restrictions          Public Health Orders","28.3","37","130916"
"17","Calgary - Sw","Open","Gathering Restrictions          Public Health Orders","23.5","27","114710"
"18","Calgary - Upper Ne","Watch","Gathering Restrictions          Public Health Orders","171.3","197","114978"
"19","Calgary - Upper Nw","Open","Gathering Restrictions          Public Health Orders","48.4","59","121916"
"20","Calgary - West","Open","Gathering Restrictions          Public Health Orders","32.7","30","91700"
"21","Calgary - West Bow","Open","Gathering Restrictions          Public Health Orders","42.8","9","21039"
"22","Camrose County","Open","Gathering Restrictions          Public Health Orders","0","0","8629"
"23","Cardston County","Open","Gathering Restrictions          Public Health Orders The Blood Tribe, situated in Cardston County, has chosen to maintain maximum gathering limits of 15 people indoors and 50 outdoors within their community at this time.","18.2","3","16459"
"24","City Of Airdrie","Open","Gathering Restrictions          Public Health Orders","44.3","31","70009"
"25","City Of Beaumont","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","53.8","10","18586"
"26","City Of Brooks","Open","Gathering Restrictions          Public Health Orders","41.5","8","19297"
"27","City Of Calgary","Watch","Gathering Restrictions          Public Health Orders","50.9","686","1347732"
"28","City Of Camrose","Open","Gathering Restrictions          Public Health Orders","9.3","2","21543"
"29","City Of Chestermere","Watch","Gathering Restrictions          Public Health Orders","100.5","21","20905"
"30","City Of Cold Lake","Open","Gathering Restrictions          Public Health Orders","5.1","1","19763"
"31","City Of Edmonton","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","124.1","1268","1021628"
"32","City Of Fort Saskatchewan","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","56.1","15","26738"
"33","City Of Grande Prairie","Watch","Gathering Restrictions          Public Health Orders","66.5","49","73697"
"34","City Of Lacombe","Watch","Gathering Restrictions          Public Health Orders","64.4","12","18640"
"35","City Of Leduc","Enhanced","Gathering Restrictions          Public Health Orders  Voluntary measures in place","33.3","11","33017"
"36","City Of Lethbridge","Watch","Gathering Restrictions          Public Health Orders","139.4","138","98987"
"37","City Of Lloydminster","Open","Gathering Restrictions          Public Health Orders","0","0","22277"
"38","City Of Medicine Hat","Open","Gathering Restrictions          Public Health Orders","4.4","3","68057"
"39","City Of Red Deer","Open","Gathering Restrictions          Public Health Orders","33","35","105939"
