Collected_Date,Report_Date,New_Total_LCC_Related_Cases,New_LCC_Related_Child_Cases,New_LCC_Related_Staff_Cases,New_LCC_Related_Unspecified_Cases,New_LCC_Centres_Closed,New_LCC_Homes_Closed,Current_LCC_Centres_w_Cases,Current_LCC_Centres_Closed,Current_Total_Number_LCC_Centres,Cumulative_LCC_Related_Cases,Cumulative_LCC_Related_Child_Cases,Cumulative_LCC_Related_Staff_Cases,Cumulative_LCC_Related_Unspecified_Cases,Cumulative_LCC_Centres_Closed,Cumulative_LCC_Homes_Closed
2020-09-10,2020-09-11,4,0,1,,0,2,18,5,4375,56,30,26,,18,64
2020-09-11,2020-09-14,2,1,0,,0,2,20,5,4426,58,31,26,,18,66
2020-09-14,2020-09-15,6,2,2,0,1,5,20,4,4886,64,33,28,0,19,71
2020-09-15,2020-09-16,4,0,2,0,1,4,14,5,4967,52,33,30,0,20,75
2020-09-16,2020-09-17,2,1,1,0,0,5,12,3,5010,72,34,38,0,20,80
2020-09-17,2020-09-18,4,1,3,0,1,5,16,4,5027,76,35,41,0,21,85
2020-09-18,2020-09-21,4,3,1,0,0,5,19,4,5034,80,38,42,0,21,90
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
