Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27789,25499881,907,#1c819a,108.97697914747,35.568793438683
Belgique,552240,11589616,15213,#1c819a,4764.9551115412,1312.6405568571
France,2109170,65273512,48265,#1c819a,3231.2800941368,739.42704354563
Allemagne,902528,83783945,13884,#1c819a,1077.2087659515,165.71193920267
Italie,1345767,60461828,48569,#1c819a,2225.8126234622,803.30022439943
Pays-Bas,472616,17134873,8810,#1c819a,2758.2112805855,514.15613059986
Nouvelle-Zélande,1663,4822233,25,#1c819a,34.486098037984,5.1843202101599
Portugal,249498,10196707,3762,#1c819a,2446.8487718633,368.94264001113
Espagne,1556730,46754783,42619,#1c819a,3329.5630951811,911.54310351521
Suède,208295,10099270,6406,#1c819a,2062.4758027065,634.30327142457
Suisse,289483,8654618,3567,#1c819a,3344.8385590213,412.14990655856
Royaume-Uni,1473508,67886004,54286,#1c819a,2170.5622855633,799.66409570963
États-Unis,11913944,331002647,254413,#1c819a,3599.3500680374,768.61318876402
