Pays,Cas,Population,Mortalité,Couleur,TCas,TMortalité
Australie,27821,25499881,907,#1c819a,109.10246992917,35.568793438683
Belgique,558146,11589616,15510,#1c819a,4815.9145221032,1338.2669451688
France,2140208,65273512,48732,#1c819a,3278.8307759509,746.58155363235
Allemagne,929133,83783945,14112,#1c819a,1108.9630596888,168.43322428897
Italie,1408868,60461828,49823,#1c819a,2330.1776453071,824.04058309319
Pays-Bas,484060,17134873,8879,#1c819a,2824.9990531007,518.18300608356
Nouvelle-Zélande,1674,4822233,25,#1c819a,34.714208127231,5.1843202101599
Portugal,260758,10196707,3897,#1c819a,2557.2765795859,382.18220843259
Espagne,1556730,46754783,42619,#1c819a,3329.5630951811,911.54310351521
Suède,208295,10099270,6406,#1c819a,2062.4758027065,634.30327142457
Suisse,289483,8654618,3567,#1c819a,3344.8385590213,412.14990655856
Royaume-Uni,1512045,67886004,54751,#1c819a,2227.3295096291,806.51381395199
États-Unis,12246909,331002647,256782,#1c819a,3699.9429191876,775.77023122718
