ï»¿Report_Data_Extracted,LTC_Home,LTC_City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
2020-04-24,"Albright Gardens Homes, Incorporated",,231.0,<5,0,<5
2020-04-24,Almonte Country Haven,,82.0,44.0,25,17.0
2020-04-24,Altamont Care Community,,159.0,125.0,32,45.0
2020-04-24,Anson Place Care Centre,,61.0,28.0,23,33.0
2020-04-24,Bay Ridges,,124.0,0.0,0,<5
2020-04-24,Belmont House,,140.0,0.0,0,<5
2020-04-24,Bendale Acres,,302.0,0.0,0,<5
2020-04-24,Bethany Lodge,,128.0,<5,<5,<5
2020-04-24,Bradford Valley Care Community,,246.0,20.0,7,10.0
2020-04-24,Burton Manor,,128.0,22.0,0,8.0
2020-04-24,Camilla Care Community,,236.0,114.0,7,29.0
2020-04-24,Caressant Care Fergus Nursing Home,,87.0,<5,0,0.0
2020-04-24,Caressant Care on Bonnie Place,,116.0,0.0,0,<5
2020-04-24,Carlingview Manor,,303.0,32.0,<5,5.0
2020-04-24,Castleview Wychwood Towers,,456.0,0.0,0,<5
2020-04-24,Cedarvale Terrace,,218.0,0.0,0,<5
2020-04-24,Centre d'Accueil Roger Seguin,,113.0,0.0,0,<5
2020-04-24,Chartwell Aurora Long Term Care Residence,,235.0,25.0,<5,<5
2020-04-24,Chartwell Ballycliffe Long Term Care Residence,,100.0,53.0,18,28.0
2020-04-24,Chartwell Gibson Long Term Care Residence,,202.0,30.0,8,6.0
2020-04-24,Chartwell Pine Grove Long Term Care Residence,,96.0,0.0,0,<5
2020-04-24,Chartwell Waterford Long Term Care Residence,,168.0,0.0,0,<5
2020-04-24,Chartwell Westbury Long Term Care Residence,,187.0,48.0,12,19.0
2020-04-24,Chartwell White Eagle Long Term Care Residence,,56.0,8.0,<5,<5
2020-04-24,Chartwell Woodhaven Long Term Care Residence,,192.0,0.0,0,0.0
2020-04-24,Cooksville Care Centre,,192.0,16.0,0,5.0
2020-04-24,Copernicus Lodge,,228.0,0.0,0,<5
2020-04-24,Country Village Homes - Woodslee,,104.0,28.0,16,11.0
2020-04-24,Craiglee Nursing Home,,169.0,<5,0,<5
2020-04-24,Dom Lipa,,66.0,<5,0,0.0
2020-04-24,Downsview Long Term Care Centre,,252.0,9.0,0,0.0
2020-04-24,Dufferin Oaks,,160.0,<5,<5,5.0
2020-04-24,Dundurn Place Care Centre,,201.0,<5,0,0.0
2020-04-24,Eagle Terrace,,70.0,<5,<5,0.0
2020-04-24,Earls Court Village,,128.0,<5,<5,7.0
2020-04-24,Eatonville Care Centre,,247.0,143.0,37,66.0
2020-04-24,Ã‰lisabeth-BruyÃ¨re Residence,,71.0,0.0,0,<5
2020-04-24,Elm Grove Living Centre,,126.0,29.0,12,44.0
2020-04-24,Erin Mills Lodge Nursing Home,,86.0,<5,<5,6.0
2020-04-24,Extendicare Bayview,,205.0,66.0,6,13.0
2020-04-24,Extendicare Brampton,,150.0,<5,0,<5
2020-04-24,Extendicare Guildwood,,169.0,<5,0,0.0
2020-04-24,Extendicare Laurier Manor,,242.0,37.0,0,16.0
2020-04-24,Extendicare Rouge Valley,,192.0,0.0,0,<5
2020-04-24,Extendicare Scarborough,,154.0,0.0,0,<5
2020-04-24,Extendicare Starwood,,192.0,0.0,0,<5
2020-04-24,Fairview Lodge,,198.0,0.0,0,0.0
2020-04-24,Forest Heights,,240.0,119.0,20,47.0
2020-04-24,Franklin Gardens Long Term Care Home,,120.0,<5,0,<5
2020-04-24,Garry J. Armstrong Home,,180.0,0.0,0,<5
2020-04-24,Gateway Haven Long Term Care Home,,100.0,0.0,0,<5
2020-04-24,Grace Manor,,120.0,49.0,<5,21.0
2020-04-24,Greenwood Court,,45.0,<5,<5,7.0
2020-04-24,Hampton Terrace Care Centre,,101.0,0.0,0,<5
2020-04-24,Harold and Grace Baker Centre,,120.0,40.0,10,19.0
2020-04-24,Hastings Manor Home for the Aged,,253.0,10.0,0,<5
2020-04-24,Hawthorne Place Care Centre,,269.0,5.0,0,7.0
2020-04-24,Heartwood,,118.0,0.0,0,<5
2020-04-24,Hellenic Home - Scarborough,,128.0,26.0,6,15.0
2020-04-24,Henley Place,,192.0,<5,0,0.0
2020-04-24,Heritage Green Nursing Home,,167.0,9.0,<5,<5
2020-04-24,Heron Terrace Long Term Care Community,,140.0,39.0,<5,15.0
2020-04-24,Hillsdale Terraces,,200.0,45.0,13,12.0
2020-04-24,Humber Valley Terrace,,158.0,6.0,0,0.0
2020-04-24,Ina Grafton Gage Home,,128.0,26.0,6,19.0
2020-04-24,IOOF Seniors Home,,182.0,0.0,0,<5
2020-04-24,Isabel and Arthur Meighen Manor,,168.0,84.0,20,15.0
2020-04-24,Kensington Village,,78.0,<5,<5,<5
2020-04-24,King Nursing Home,,86.0,0.0,0,<5
2020-04-24,Kipling Acres,,337.0,36.0,11,6.0
2020-04-24,Kristus Darzs Latvian Home,,100.0,9.0,<5,<5
2020-04-24,Labdara Lithuanian Nursing Home,,90.0,0.0,0,<5
2020-04-24,Lakeshore Lodge,,150.0,39.0,9,17.0
2020-04-24,Lambton Meadowview Villa,,125.0,0.0,0,<5
2020-04-24,Lanark Heights Long Term Care Centre,,160.0,8.0,<5,5.0
2020-04-24,Mackenzie Health Long Term Care Facility,,168.0,0.0,0,0.0
2020-04-24,MacKenzie Place,,93.0,46.0,6,18.0
2020-04-24,Madonna Care Community,,160.0,36.0,11,15.0
2020-04-24,Main Street Terrace,,150.0,<5,0,0.0
2020-04-24,Malton Village Long Term Care Centre,,160.0,<5,0,<5
2020-04-24,Manoir Marochel,,64.0,10.0,<5,6.0
2020-04-24,Maple View,,29.0,22.0,0,6.0
2020-04-24,Markhaven,,96.0,10.0,14,19.0
2020-04-24,Maynard Nursing Home,,77.0,<5,0,<5
2020-04-24,McCall Centre Long Term Care Interim Unit,,21.0,0.0,0,<5
2020-04-24,Meadow Park (London),,126.0,6.0,0,0.0
2020-04-24,Midland Gardens Care Community,,299.0,<5,<5,<5
2020-04-24,Moira Place Long-Term Care Home,,128.0,0.0,0,<5
2020-04-24,Mon Sheong Home for the Aged,,105.0,50.0,24,16.0
2020-04-24,Montfort,,128.0,27.0,14,11.0
2020-04-24,Northridge,,133.0,<5,0,0.0
2020-04-24,Norwood Nursing Home,,60.0,<5,0,<5
2020-04-24,Orchard Villa,,233.0,144.0,40,45.0
2020-04-24,Peel Manor,,177.0,7.0,<5,0.0
2020-04-24,peopleCare A.R. Goudie Kitchener,,80.0,12.0,<5,11.0
2020-04-24,Pinecrest (Plantagenet),,60.0,0.0,0,<5
2020-04-24,Pinecrest Nursing Home (Bobcaygeon),,65.0,33.0,29,32.0
2020-04-24,Post Inn Village,,228.0,<5,0,<5
2020-04-24,Providence Healthcare,,288.0,13.0,<5,6.0
2020-04-24,Providence Manor,,243.0,<5,0,0.0
2020-04-24,ReachView Village,,100.0,<5,0,0.0
2020-04-24,Residence Prescott et Russell,,146.0,0.0,0,<5
2020-04-24,Residence Saint-Louis,,198.0,0.0,0,<5
2020-04-24,Rosebridge Manor,,78.0,0.0,0,<5
2020-04-24,Royal Rose Place,,96.0,41.0,10,29.0
2020-04-24,Royal Terrace,,67.0,<5,0,0.0
2020-04-24,Seven Oaks,,249.0,94.0,34,15.0
2020-04-24,Shelburne Long Term Care Home,,60.0,17.0,5,5.0
2020-04-24,Sherbourne Place,,126.0,43.0,14,25.0
2020-04-24,Sheridan Villa,,142.0,<5,<5,<5
2020-04-24,Silverthorn Care Community,,160.0,0.0,0,<5
2020-04-24,Southlake Residential Care Village,,224.0,0.0,0,<5
2020-04-24,St. Clair O'Connor Community Nursing Home,,25.0,18.0,8,13.0
2020-04-24,St. Joseph's at Fleming,,200.0,<5,0,<5
2020-04-24,St. Joseph's Lifecare Centre,,205.0,0.0,0,<5
2020-04-24,"St. Joseph's Villa, Dundas",,425.0,<5,0,0.0
2020-04-24,"St. Joseph's Villa, Sudbury",,128.0,<5,0,<5
2020-04-24,Stoneridge Manor,,60.0,50.0,5,13.0
2020-04-24,Sun Parlor Home for Senior Citizens,,206.0,0.0,<5,0.0
2020-04-24,Tall Pines Long Term Care Centre,,160.0,0.0,0,<5
2020-04-24,The Henley House,,160.0,<5,0,0.0
2020-04-24,The Jewish Home for the Aged,,472.0,<5,<5,<5
2020-04-24,The Kensington Gardens,,350.0,22.0,<5,7.0
2020-04-24,The O'Neill Centre,,162.0,<5,0,0.0
2020-04-24,The Perley and Rideau Veterans' Health Centre,,450.0,<5,<5,13.0
2020-04-24,The Village at University Gates,,192.0,0.0,<5,<5
2020-04-24,The Village of Erin Meadows,,180.0,43.0,9,21.0
2020-04-24,The Village of Humber Heights,,192.0,9.0,<5,5.0
2020-04-24,The Woodlands of Sunset,,121.0,<5,0,0.0
2020-04-24,Trinity Village Care Centre,,150.0,26.0,<5,25.0
2020-04-24,Ukrainian Canadian Care Centre,,152.0,25.0,<5,<5
2020-04-24,Valleyview Residence,,174.0,6.0,<5,7.0
2020-04-24,Villa Colombo Homes for the Aged,,391.0,0.0,0,<5
2020-04-24,Villa Colombo Seniors Centre (Vaughan),,160.0,15.0,<5,7.0
2020-04-24,Villa Forum,,160.0,34.0,7,13.0
2020-04-24,Villa Leonardo Gambin,,168.0,33.0,5,7.0
2020-04-24,Villa Marconi,,128.0,0.0,0,<5
2020-04-24,Vision Nursing Home,,146.0,0.0,0,<5
2020-04-24,Wellesley Central Place,,150.0,28.0,10,18.0
2020-04-24,Wesburn Manor,,192.0,<5,0,0.0
2020-04-24,West Park Long Term Care Centre,,200.0,35.0,12,29.0
2020-04-24,Weston Terrace Care Community,,224.0,8.0,<5,7.0
2020-04-24,Winbourne Park,,110.0,0.0,0,<5
2020-04-24,Woods Park Care Centre,,123.0,0.0,0,<5
2020-04-24,Yee Hong Centre - Scarborough McNicoll,,155.0,<5,0,<5
2020-04-25,"Albright Gardens Homes, Incorporated",,231.0,<5,0,<5
2020-04-25,Almonte Country Haven,,82.0,44.0,25,17.0
2020-04-25,Altamont Care Community,,159.0,125.0,32,45.0
2020-04-25,Anson Place Care Centre,,61.0,28.0,23,33.0
2020-04-25,Bay Ridges,,124.0,0.0,0,<5
2020-04-25,Belmont House,,140.0,0.0,0,<5
2020-04-25,Bendale Acres,,302.0,0.0,0,<5
2020-04-25,Bethany Lodge,,128.0,<5,<5,<5
2020-04-25,Bradford Valley Care Community,,246.0,20.0,7,10.0
2020-04-25,Burton Manor,,128.0,22.0,0,9.0
2020-04-25,Camilla Care Community,,236.0,114.0,7,29.0
2020-04-25,Caressant Care Fergus Nursing Home,,87.0,<5,0,0.0
2020-04-25,Caressant Care on Bonnie Place,,116.0,0.0,0,<5
2020-04-25,Carlingview Manor,,303.0,32.0,<5,5.0
2020-04-25,Castleview Wychwood Towers,,456.0,0.0,0,<5
2020-04-25,Cedarvale Terrace,,218.0,0.0,0,<5
2020-04-25,Centre d'Accueil Roger Seguin,,113.0,0.0,0,<5
2020-04-25,Chartwell Aurora Long Term Care Residence,,235.0,25.0,<5,<5
2020-04-25,Chartwell Ballycliffe Long Term Care Residence,,100.0,50.0,19,27.0
2020-04-25,Chartwell Gibson Long Term Care Residence,,202.0,30.0,8,6.0
