ï»¿Report_Data_Extracted,LTC_Home,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
2020-04-24,"Albright Gardens Homes, Incorporated",Beamsville,231.0,<5,0.0,<5
2020-04-24,Almonte Country Haven,Almonte,82.0,44.0,25.0,17.0
2020-04-24,Altamont Care Community,Scarborough,159.0,125.0,32.0,45.0
2020-04-24,Anson Place Care Centre,Hagersville,61.0,28.0,23.0,33.0
2020-04-24,Bay Ridges,Pickering,124.0,0.0,0.0,<5
2020-04-24,Belmont House,Toronto,140.0,0.0,0.0,<5
2020-04-24,Bendale Acres,Scarborough,302.0,0.0,0.0,<5
2020-04-24,Bethany Lodge,Markham,128.0,<5,<5,<5
2020-04-24,Bradford Valley Care Community,Bradford,246.0,20.0,7.0,10.0
2020-04-24,Burton Manor,Brampton,128.0,22.0,0.0,8.0
2020-04-24,Camilla Care Community,Mississauga,236.0,114.0,7.0,29.0
2020-04-24,Caressant Care Fergus Nursing Home,Fergus,87.0,<5,0.0,0.0
2020-04-24,Caressant Care on Bonnie Place,St Thomas,116.0,0.0,0.0,<5
2020-04-24,Carlingview Manor,Ottawa,303.0,32.0,<5,5.0
2020-04-24,Castleview Wychwood Towers,Toronto,456.0,0.0,0.0,<5
2020-04-24,Cedarvale Terrace,Toronto,218.0,0.0,0.0,<5
2020-04-24,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0,0.0,<5
2020-04-24,Chartwell Aurora Long Term Care Residence,Aurora,235.0,25.0,<5,<5
2020-04-24,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,53.0,18.0,28.0
2020-04-24,Chartwell Gibson Long Term Care Residence,North York,202.0,30.0,8.0,6.0
2020-04-24,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0.0,0.0,<5
2020-04-24,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0.0,0.0,<5
2020-04-24,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,48.0,12.0,19.0
2020-04-24,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,8.0,<5,<5
2020-04-24,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0.0,0.0,0.0
2020-04-24,Cooksville Care Centre,Mississauga,192.0,16.0,0.0,5.0
2020-04-24,Copernicus Lodge,Toronto,228.0,0.0,0.0,<5
2020-04-24,Country Village Homes - Woodslee,Woodslee,104.0,28.0,16.0,11.0
2020-04-24,Craiglee Nursing Home,Scarborough,169.0,<5,0.0,<5
2020-04-24,Dom Lipa,Etobicoke,66.0,<5,0.0,0.0
2020-04-24,Downsview Long Term Care Centre,North York,252.0,9.0,0.0,0.0
2020-04-24,Dufferin Oaks,Shelburne,160.0,<5,<5,5.0
2020-04-24,Dundurn Place Care Centre,Hamilton,201.0,<5,0.0,0.0
2020-04-24,Eagle Terrace,Newmarket,70.0,<5,<5,0.0
2020-04-24,Earls Court Village,London,128.0,<5,<5,7.0
2020-04-24,Eatonville Care Centre,Etobicoke,247.0,143.0,37.0,66.0
2020-04-24,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71.0,0.0,0.0,<5
2020-04-24,Elm Grove Living Centre,Toronto,126.0,29.0,12.0,44.0
