ï»¿Report_Data_Extracted,PHU_Num,PHU,LTC_Home,City,Beds,Total_LTC_Resident_Cases,Total_LTC_Resident_Deaths,Total_LTC_HCW_Cases
2020-04-24,2246.0,NIAGARA,"Albright Gardens Homes, Incorporated",Beamsville,231.0,<5,0.0,<5
2020-04-24,2243.0,"LEEDS,GRENVILLE,LANARK",Almonte Country Haven,Almonte,82.0,44.0,25.0,17.0
2020-04-24,3895.0,TORONTO,Altamont Care Community,Scarborough,159.0,125.0,32.0,45.0
2020-04-24,2227.0,BRANT,Anson Place Care Centre,Hagersville,61.0,28.0,23.0,33.0
2020-04-24,2230.0,DURHAM,Bay Ridges,Pickering,124.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Belmont House,Toronto,140.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Bendale Acres,Scarborough,302.0,0.0,0.0,<5
2020-04-24,2270.0,YORK REGION,Bethany Lodge,Markham,128.0,<5,<5,<5
2020-04-24,2260.0,SIMCOE-MUSKOKA,Bradford Valley Care Community,Bradford,246.0,20.0,7.0,10.0
2020-04-24,2253.0,PEEL,Burton Manor,Brampton,128.0,22.0,0.0,8.0
2020-04-24,2253.0,PEEL,Camilla Care Community,Mississauga,236.0,114.0,7.0,29.0
2020-04-24,2266.0,WELLINGTON-DUFFERIN-GUELPH,Caressant Care Fergus Nursing Home,Fergus,87.0,<5,0.0,0.0
2020-04-24,4913.0,SOUTH WEST,Caressant Care on Bonnie Place,St Thomas,116.0,0.0,0.0,<5
2020-04-24,2251.0,OTTAWA,Carlingview Manor,Ottawa,303.0,32.0,<5,5.0
2020-04-24,3895.0,TORONTO,Castleview Wychwood Towers,Toronto,456.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Cedarvale Terrace,Toronto,218.0,0.0,0.0,<5
2020-04-24,2258.0,EASTERN ONTARIO,Centre d'Accueil Roger Seguin,Clarence Creek,113.0,0.0,0.0,<5
2020-04-24,2270.0,YORK REGION,Chartwell Aurora Long Term Care Residence,Aurora,235.0,25.0,<5,<5
2020-04-24,2230.0,DURHAM,Chartwell Ballycliffe Long Term Care Residence,Ajax,100.0,53.0,18.0,28.0
2020-04-24,3895.0,TORONTO,Chartwell Gibson Long Term Care Residence,North York,202.0,30.0,8.0,6.0
2020-04-24,2270.0,YORK REGION,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96.0,0.0,0.0,<5
2020-04-24,2236.0,HALTON,Chartwell Waterford Long Term Care Residence,Oakville,168.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Chartwell Westbury Long Term Care Residence,Etobicoke,187.0,48.0,12.0,19.0
2020-04-24,3895.0,TORONTO,Chartwell White Eagle Long Term Care Residence,Toronto,56.0,8.0,<5,<5
2020-04-24,2270.0,YORK REGION,Chartwell Woodhaven Long Term Care Residence,Markham,192.0,0.0,0.0,0.0
2020-04-24,2253.0,PEEL,Cooksville Care Centre,Mississauga,192.0,16.0,0.0,5.0
2020-04-24,3895.0,TORONTO,Copernicus Lodge,Toronto,228.0,0.0,0.0,<5
2020-04-24,2268.0,WINDSOR-ESSEX,Country Village Homes - Woodslee,Woodslee,104.0,28.0,16.0,11.0
2020-04-24,3895.0,TORONTO,Craiglee Nursing Home,Scarborough,169.0,<5,0.0,<5
2020-04-24,3895.0,TORONTO,Dom Lipa,Etobicoke,66.0,<5,0.0,0.0
2020-04-24,3895.0,TORONTO,Downsview Long Term Care Centre,North York,252.0,9.0,0.0,0.0
2020-04-24,2266.0,WELLINGTON-DUFFERIN-GUELPH,Dufferin Oaks,Shelburne,160.0,<5,<5,5.0
2020-04-24,2237.0,HAMILTON,Dundurn Place Care Centre,Hamilton,201.0,<5,0.0,0.0
2020-04-24,2270.0,YORK REGION,Eagle Terrace,Newmarket,70.0,<5,<5,0.0
2020-04-24,2244.0,MIDDLESEX-LONDON,Earls Court Village,London,128.0,<5,<5,7.0
2020-04-24,3895.0,TORONTO,Eatonville Care Centre,Etobicoke,247.0,143.0,37.0,66.0
2020-04-24,2251.0,OTTAWA,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Elm Grove Living Centre,Toronto,126.0,29.0,12.0,44.0
2020-04-24,2253.0,PEEL,Erin Mills Lodge Nursing Home,Mississauga,86.0,<5,<5,6.0
2020-04-24,3895.0,TORONTO,Extendicare Bayview,North York,205.0,66.0,6.0,13.0
2020-04-24,2253.0,PEEL,Extendicare Brampton,Brampton,150.0,<5,0.0,<5
2020-04-24,3895.0,TORONTO,Extendicare Guildwood,Scarborough,169.0,<5,0.0,0.0
2020-04-24,2251.0,OTTAWA,Extendicare Laurier Manor,Gloucester,242.0,37.0,0.0,16.0
2020-04-24,3895.0,TORONTO,Extendicare Rouge Valley,Toronto,192.0,0.0,0.0,<5
2020-04-24,3895.0,TORONTO,Extendicare Scarborough,Scarborough,154.0,0.0,0.0,<5
2020-04-24,2251.0,OTTAWA,Extendicare Starwood,Nepean,192.0,0.0,0.0,<5
2020-04-24,2230.0,DURHAM,Fairview Lodge,Whitby,198.0,0.0,0.0,0.0
2020-04-24,2265.0,WATERLOO,Forest Heights,Kitchener,240.0,119.0,20.0,47.0
2020-04-24,2268.0,WINDSOR-ESSEX,Franklin Gardens Long Term Care Home,Leamington,120.0,<5,0.0,<5
