Date,Last_Update,RHA,Area,Area_Name,Total_Tests,Daily_Tests,Total_Cases,Active_Cases,Recovered,Deaths,New_Cases,Current_Hospitalizations,Current_ICU_Patients,Population,Rate,ObjectId
2020-09-28,"September 28, 2020",All,All,All,180750.0,1596.0,1919,618,1281,20,39.0,13.0,7.0,,139.95,1
2020-09-28,"September 28, 2020",Interlake-Eastern,Interlake-Eastern,Interlake-Eastern,,,132,35,97,0,7.0,1.0,1.0,,105.22,2
2020-09-28,"September 28, 2020",Northern,Northern,Northern,,,15,11,4,0,7.0,2.0,1.0,,19.54,3
2020-09-28,"September 28, 2020",Prairie Mountain Health,Prairie Mountain Health,Prairie Mountain Health,,,514,29,482,3,0.0,3.0,2.0,,300.49,4
2020-09-28,"September 28, 2020",Southern Health-Santé Sud,Southern Health-Santé Sud,Southern Health-Santé Sud,,,330,31,288,11,3.0,3.0,1.0,,158.95,5
2020-09-28,"September 28, 2020",Winnipeg,Winnipeg,Winnipeg,,,928,512,410,6,22.0,4.0,2.0,,117.42,6
2020-09-28,"September 28, 2020",Interlake-Eastern,IE11,Selkirk,,,1,0,1,0,,,,,9.37,7
2020-09-28,"September 28, 2020",Interlake-Eastern,IE21,Stonewall/Teulon,,,29,5,24,0,,,,,173.36,8
2020-09-28,"September 28, 2020",Interlake-Eastern,IE22,Wpg Beach/St. Andrews,,,16,5,11,0,,,,,93.8,9
2020-09-28,"September 28, 2020",Interlake-Eastern,IE23,St. Clements,,,1,0,1,0,,,,,11.9,10
2020-09-28,"September 28, 2020",Interlake-Eastern,IE24,Springfield,,,33,3,30,0,,,,,270.0,11
2020-09-28,"September 28, 2020",Interlake-Eastern,IE31,Beausejour,,,13,0,13,0,,,,,132.76,12
2020-09-28,"September 28, 2020",Interlake-Eastern,IE32,Pinawa/Lac du Bonnet,,,4,1,3,0,,,,,49.51,13
2020-09-28,"September 28, 2020",Interlake-Eastern,IE33,Whiteshell,,,0,0,0,0,,,,,0.0,14
2020-09-28,"September 28, 2020",Interlake-Eastern,IE41,Gimli,,,0,0,0,0,,,,,0.0,15
2020-09-28,"September 28, 2020",Interlake-Eastern,IE42,Arborg/Riverton,,,15,9,6,0,,,,,281.64,16
2020-09-28,"September 28, 2020",Interlake-Eastern,IE43,St. Laurent,,,1,0,1,0,,,,,25.72,17
2020-09-28,"September 28, 2020",Interlake-Eastern,IE51,Powerview/Pine Falls,,,5,3,2,0,,,,,81.05,18
2020-09-28,"September 28, 2020",Interlake-Eastern,IE52,Fisher/Peguis,,,9,8,1,0,,,,,129.09,19
2020-09-28,"September 28, 2020",Interlake-Eastern,IE53,Eriksdale/Ashern,,,0,0,0,0,,,,,0.0,20
2020-09-28,"September 28, 2020",Interlake-Eastern,IE61,Northern Remote,,,0,0,0,0,,,,,0.0,21
2020-09-28,"September 28, 2020",Northern,NO11,The Pas/OCN/Kelsey,,,0,0,0,0,,,,,0.0,22
2020-09-28,"September 28, 2020",Northern,NO12,Flin Flon/Snow Lake/Cranberry/Sherridon,,,1,0,1,0,,,,,13.14,23
2020-09-28,"September 28, 2020",Northern,NO13,Lynn/MC FN/Leaf/O-P FN (SIL)/PN FN (Granville),,,0,0,0,0,,,,,0.0,24
2020-09-28,"September 28, 2020",Northern,NO14,Thompson/Mystery Lake,,,2,0,2,0,,,,,13.59,25
2020-09-28,"September 28, 2020",Northern,NO15,Bay Line,,,1,1,0,0,,,,,82.71,26
2020-09-28,"September 28, 2020",Northern,NO16,Gillam/Fox Lake CN,,,1,0,1,0,,,,,74.68,27
2020-09-28,"September 28, 2020",Northern,NO21,GR/Misipawistik CN/ML/Mosakahiken CN/Eas/Chemawawin FN,,,0,0,0,0,,,,,0.0,28
2020-09-28,"September 28, 2020",Northern,NO22,Pukatawagan/Mathias Colomb CN,,,0,0,0,0,,,,,0.0,29
