Date,Last_Update,RHA,Area,Area_Name,Total_Tests,Daily_Tests,Total_Cases,Active_Cases,Recovered,Deaths,New_Cases,Current_Hospitalizations,Current_ICU_Patients,Population,Rate,ObjectId
2020-10-21,"October 21, 2020",All,All,All,230641.0,1861.0,3626,1774,1809,43,135.0,,,,264.44,1
2020-10-21,"October 21, 2020",Interlake-Eastern,Interlake-Eastern,Interlake-Eastern,,,294,131,162,1,17.0,,,,234.35,2
2020-10-21,"October 21, 2020",Northern,Northern,Northern,,,60,46,14,0,4.0,,,,78.15,3
2020-10-21,"October 21, 2020",Prairie Mountain Health,Prairie Mountain Health,Prairie Mountain Health,,,567,26,537,4,0.0,,,,331.48,4
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,Southern Health-Santé Sud,Southern Health-Santé Sud,,,487,81,393,13,12.0,,,,234.57,5
2020-10-21,"October 21, 2020",Winnipeg,Winnipeg,Winnipeg,,,2218,1490,703,25,102.0,,,,280.65,6
2020-10-21,"October 21, 2020",Interlake-Eastern,IE11,Selkirk,,,2,0,2,0,,,,,18.74,7
2020-10-21,"October 21, 2020",Interlake-Eastern,IE21,Stonewall/Teulon,,,36,6,29,1,,,,,215.21,8
2020-10-21,"October 21, 2020",Interlake-Eastern,IE22,Wpg Beach/St. Andrews,,,26,5,21,0,,,,,152.43,9
2020-10-21,"October 21, 2020",Interlake-Eastern,IE23,St. Clements,,,7,4,3,0,,,,,83.31,10
2020-10-21,"October 21, 2020",Interlake-Eastern,IE24,Springfield,,,38,5,33,0,,,,,310.91,11
2020-10-21,"October 21, 2020",Interlake-Eastern,IE31,Beausejour,,,16,0,16,0,,,,,163.4,12
2020-10-21,"October 21, 2020",Interlake-Eastern,IE32,Pinawa/Lac du Bonnet,,,6,0,6,0,,,,,74.27,13
2020-10-21,"October 21, 2020",Interlake-Eastern,IE33,Whiteshell,,,0,0,0,0,,,,,0.0,14
2020-10-21,"October 21, 2020",Interlake-Eastern,IE41,Gimli,,,2,1,1,0,,,,,31.84,15
2020-10-21,"October 21, 2020",Interlake-Eastern,IE42,Arborg/Riverton,,,20,0,20,0,,,,,375.52,16
2020-10-21,"October 21, 2020",Interlake-Eastern,IE43,St. Laurent,,,1,0,1,0,,,,,25.72,17
2020-10-21,"October 21, 2020",Interlake-Eastern,IE51,Powerview/Pine Falls,,,8,3,5,0,,,,,129.68,18
2020-10-21,"October 21, 2020",Interlake-Eastern,IE52,Fisher/Peguis,,,55,39,16,0,,,,,788.87,19
2020-10-21,"October 21, 2020",Interlake-Eastern,IE53,Eriksdale/Ashern,,,4,4,0,0,,,,,57.45,20
2020-10-21,"October 21, 2020",Interlake-Eastern,IE61,Northern Remote,,,63,62,1,0,,,,,1535.09,21
2020-10-21,"October 21, 2020",Northern,NO11,The Pas/OCN/Kelsey,,,4,4,0,0,,,,,35.92,22
2020-10-21,"October 21, 2020",Northern,NO12,Flin Flon/Snow Lake/Cranberry/Sherridon,,,2,1,1,0,,,,,26.28,23
2020-10-21,"October 21, 2020",Northern,NO13,Lynn/MC FN/Leaf/O-P FN (SIL)/PN FN (Granville),,,3,3,0,0,,,,,127.06,24
2020-10-21,"October 21, 2020",Northern,NO14,Thompson/Mystery Lake,,,20,10,10,0,,,,,135.92,25
2020-10-21,"October 21, 2020",Northern,NO15,Bay Line,,,2,1,1,0,,,,,165.43,26
2020-10-21,"October 21, 2020",Northern,NO16,Gillam/Fox Lake CN,,,2,1,1,0,,,,,149.37,27
2020-10-21,"October 21, 2020",Northern,NO21,GR/Misipawistik CN/ML/Mosakahiken CN/Eas/Chemawawin FN,,,0,0,0,0,,,,,0.0,28
2020-10-21,"October 21, 2020",Northern,NO22,Pukatawagan/Mathias Colomb CN,,,0,0,0,0,,,,,0.0,29
2020-10-21,"October 21, 2020",Northern,NO23,Sayisi Dene/Tadoule/Barren Lands/Brochet/Northlands/Lac Br,,,0,0,0,0,,,,,0.0,30
2020-10-21,"October 21, 2020",Northern,NO24,Nelson House/Nisichawayasihk Cree Nation,,,3,3,0,0,,,,,112.65,31
2020-10-21,"October 21, 2020",Northern,NO25,Shamattawa FN/York Factory FN/Tataskweyak CN/Split Lake,,,9,9,0,0,,,,,259.07,32
2020-10-21,"October 21, 2020",Northern,NO26,Bunibonibee/Oxford House/Manto Sipi/God's River/God's Lake,,,3,3,0,0,,,,,69.09,33
2020-10-21,"October 21, 2020",Northern,NO27,Cross Lake/Pimicikamak CN,,,6,6,0,0,,,,,111.28,34
2020-10-21,"October 21, 2020",Northern,NO28,Norway House/Norway House CN,,,0,0,0,0,,,,,0.0,35
2020-10-21,"October 21, 2020",Northern,NO31,Island Lake,,,2,2,0,0,,,,,22.2,36
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO11,Seven Regions,,,14,0,14,0,,,,,222.79,37
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO12,North Norfolk,,,10,0,10,0,,,,,217.34,38
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO13,Rural Portage,,,23,0,22,1,,,,,351.84,39
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO14,Cartier/St. Francçois Xavier,,,48,12,36,0,,,,,538.24,40
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO15,City of Portage La Prairie,,,42,7,34,1,,,,,252.63,41
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO21,Grey,,,6,0,5,1,,,,,207.4,42
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO22,Carman,,,7,0,7,0,,,,,119.41,43
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO23,MacDonald,,,11,0,11,0,,,,,134.34,44
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO24,Morris,,,10,0,10,0,,,,,185.8,45
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO25,St. Pierre,,,1,0,1,0,,,,,24.31,46
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO26,Red River South,,,6,1,5,0,,,,,133.96,47
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO31,Lorne/Louise/Pembina,,,21,1,20,0,,,,,255.57,48
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO32,Stanley,,,3,0,3,0,,,,,68.51,49
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO33,Altona,,,7,0,7,0,,,,,70.52,50
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO34,Morden,,,1,0,1,0,,,,,9.08,51
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO35,Winkler,,,18,2,15,1,,,,,95.35,52
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO36,Roland/Thompson,,,15,0,14,1,,,,,711.57,53
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO41,Niverville/Ritchot,,,64,5,58,1,,,,,452.26,54
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO42,Tache,,,18,5,13,0,,,,,171.94,55
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO43,Ste Anne/La Broquerie,,,35,11,24,0,,,,,267.26,56
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO44,Steinbach,,,84,22,57,5,,,,,382.79,57
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO45,Hanover,,,33,12,20,1,,,,,214.3,58
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,SO46,Rural East,,,1,0,0,1,,,,,24.1,59
2020-10-21,"October 21, 2020",Winnipeg,Unknown Community Area,Unknown Community Area,,,29,18,11,0,,,,,,60
2020-10-21,"October 21, 2020",Southern Health-Santé Sud,Unknown District,Unknown District,,,9,3,6,0,,,,,,61
2020-10-21,"October 21, 2020",Interlake-Eastern,Unknown District,Unknown District,,,10,2,8,0,,,,,,62
2020-10-21,"October 21, 2020",Northern,Unknown District,Unknown District,,,4,3,1,0,,,,,,63
2020-10-21,"October 21, 2020",Prairie Mountain Health,Unknown District,Unknown District,,,15,1,14,0,,,,,,64
2020-10-21,"October 21, 2020",Winnipeg,W01,St. James - Assiniboia,,,113,74,36,3,,,,,182.9,65
2020-10-21,"October 21, 2020",Winnipeg,W02,Assiniboine South,,,92,40,50,2,,,,,248.57,66
2020-10-21,"October 21, 2020",Winnipeg,W03,Fort Garry,,,265,177,87,1,,,,,267.64,67
2020-10-21,"October 21, 2020",Winnipeg,W04,St. Vital,,,133,85,48,0,,,,,187.8,68
2020-10-21,"October 21, 2020",Winnipeg,W05,St. Boniface,,,109,89,19,1,,,,,169.12,69
2020-10-21,"October 21, 2020",Winnipeg,W06,Transcona,,,78,48,28,2,,,,,164.89,70
2020-10-21,"October 21, 2020",Winnipeg,W07,River East,,,302,208,91,3,,,,,298.76,71
2020-10-21,"October 21, 2020",Winnipeg,W08,Seven Oaks,,,290,169,121,0,,,,,352.8,72
2020-10-21,"October 21, 2020",Winnipeg,W09,Inkster,,,101,66,35,0,,,,,259.13,73
2020-10-21,"October 21, 2020",Winnipeg,W10,Point Douglas,,,136,95,40,1,,,,,276.57,74
2020-10-21,"October 21, 2020",Winnipeg,W11,Downtown,,,438,335,92,11,,,,,559.09,75
2020-10-21,"October 21, 2020",Winnipeg,W12,River Heights,,,132,86,45,1,,,,,231.62,76
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE11,Duck Mountain,,,1,0,1,0,,,,,18.03,77
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE12,Porcupine Mountain,,,1,0,1,0,,,,,12.71,78
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE13,Riding Mountain,,,1,0,1,0,,,,,20.46,79
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE14,Agassiz Mountain,,,2,0,1,1,,,,,28.26,80
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE15,Dauphin,,,9,2,7,0,,,,,94.57,81
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE16,Swan River,,,0,0,0,0,,,,,0.0,82
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE31,Asessippi,,,81,2,79,0,,,,,729.2,83
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE32,Little Saskatchewan,,,16,1,15,0,,,,,124.26,84
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE33,Turtle Mountain,,,19,1,18,0,,,,,173.69,85
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE34,Souris River,,,4,0,4,0,,,,,30.44,86
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE35,Whitemud,,,36,1,34,1,,,,,289.39,87
2020-10-21,"October 21, 2020",Prairie Mountain Health,WE36,Spruce Woods,,,40,8,31,1,,,,,261.8,88
2020-10-21,"October 21, 2020",Prairie Mountain Health,WEBR,Brandon,,,342,10,331,1,,,,,626.59,89
2020-10-21,"October 21, 2020",Winnipeg,WP21,Winnipeg - Churchill,,,0,0,0,0,,,,,0.0,90
