"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Number","223","units","0","v1154449255","1.1.1.1","109737","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Number","223","units","0","v1154449256","1.1.1.2","94772","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Number","223","units","0","v1154449257","1.1.1.3","3276","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Number","223","units","0","v1154449258","1.1.1.4","11689","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1154449259","1.1.1.5","109737","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1154449260","1.1.1.6","7968","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, hospitalized","Number","223","units","0","v1154449261","1.1.1.7","78577","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1154449262","1.1.1.8","23192","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1154449263","1.1.1.9","109737","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1154449264","1.1.1.10","1678","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, intensive care unit","Number","223","units","0","v1154449265","1.1.1.11","84867","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1154449266","1.1.1.12","23192","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by death status","Number","223","units","0","v1154449267","1.1.1.13","109737","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, deceased","Number","223","units","0","v1154449268","1.1.1.14","3786","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, not deceased","Number","223","units","0","v1154449269","1.1.1.15","83398","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, deceased","Number","223","units","0","v1154449270","1.1.1.16","22553","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Number","223","units","0","v1154449271","1.1.2.1","13065","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Number","223","units","0","v1154449272","1.1.2.2","11333","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Number","223","units","0","v1154449273","1.1.2.3","113","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Number","223","units","0","v1154449274","1.1.2.4","1619","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by hospitalization status","Number","223","units","0","v1154449275","1.1.2.5","13065","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, hospitalized","Number","223","units","0","v1154449276","1.1.2.6","96","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, hospitalized","Number","223","units","0","v1154449277","1.1.2.7","9767","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, hospitalized","Number","223","units","0","v1154449278","1.1.2.8","3202","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by intensive care unit admittance","Number","223","units","0","v1154449279","1.1.2.9","13065","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, intensive care unit","Number","223","units","0","v1154449280","1.1.2.10","0","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, intensive care unit","Number","223","units","0","v1154449281","1.1.2.11","9863","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, intensive care unit","Number","223","units","0","v1154449282","1.1.2.12","3202","","","","0"
