"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Number","223","units","0","v1154449255","1.1.1.1","209811","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Number","223","units","0","v1154449256","1.1.1.2","164280","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Number","223","units","0","v1154449257","1.1.1.3","4810","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Number","223","units","0","v1154449258","1.1.1.4","40721","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1154449259","1.1.1.5","209811","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1154449260","1.1.1.6","14343","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, hospitalized","Number","223","units","0","v1154449261","1.1.1.7","122174","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1154449262","1.1.1.8","73294","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1154449263","1.1.1.9","209811","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1154449264","1.1.1.10","3203","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, intensive care unit","Number","223","units","0","v1154449265","1.1.1.11","133314","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1154449266","1.1.1.12","73294","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by death status","Number","223","units","0","v1154449267","1.1.1.13","209811","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, deceased","Number","223","units","0","v1154449268","1.1.1.14","9541","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, not deceased","Number","223","units","0","v1154449269","1.1.1.15","158528","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, deceased","Number","223","units","0","v1154449270","1.1.1.16","41742","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Number","223","units","0","v1154449271","1.1.2.1","24487","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Number","223","units","0","v1154449272","1.1.2.2","17397","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Number","223","units","0","v1154449273","1.1.2.3","196","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Number","223","units","0","v1154449274","1.1.2.4","6894","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by hospitalization status","Number","223","units","0","v1154449275","1.1.2.5","24487","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, hospitalized","Number","223","units","0","v1154449276","1.1.2.6","196","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, hospitalized","Number","223","units","0","v1154449277","1.1.2.7","14599","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, hospitalized","Number","223","units","0","v1154449278","1.1.2.8","9692","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by intensive care unit admittance","Number","223","units","0","v1154449279","1.1.2.9","24487","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, intensive care unit","Number","223","units","0","v1154449280","1.1.2.10","22","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, intensive care unit","Number","223","units","0","v1154449281","1.1.2.11","14773","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, intensive care unit","Number","223","units","0","v1154449282","1.1.2.12","9692","","","","0"
