"REF_DATE","GEO","DGUID","Gender","Age group","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by transmission","Number","223","units","0","v1154449255","1.1.1.1","121795","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Community exposures","Number","223","units","0","v1154449256","1.1.1.2","114263","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Travel exposures","Number","223","units","0","v1154449257","1.1.1.3","4650","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, transmission","Number","223","units","0","v1154449258","1.1.1.4","2882","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by hospitalization status","Number","223","units","0","v1154449259","1.1.1.5","121795","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, hospitalized","Number","223","units","0","v1154449260","1.1.1.6","11511","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, hospitalized","Number","223","units","0","v1154449261","1.1.1.7","72682","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, hospitalized","Number","223","units","0","v1154449262","1.1.1.8","37602","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by intensive care unit admittance","Number","223","units","0","v1154449263","1.1.1.9","121795","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, intensive care unit","Number","223","units","0","v1154449264","1.1.1.10","2288","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, intensive care unit","Number","223","units","0","v1154449265","1.1.1.11","81905","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, intensive care unit","Number","223","units","0","v1154449266","1.1.1.12","37602","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Total, by death status","Number","223","units","0","v1154449267","1.1.1.13","121795","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Yes, deceased","Number","223","units","0","v1154449268","1.1.1.14","8676","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","No, not deceased","Number","223","units","0","v1154449269","1.1.1.15","102606","","","","0"
"2020","Canada","2016A000011124","Total, all genders","Total, all age groups","Not stated, deceased","Number","223","units","0","v1154449270","1.1.1.16","10513","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by transmission","Number","223","units","0","v1154449271","1.1.2.1","9282","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Community exposures","Number","223","units","0","v1154449272","1.1.2.2","8735","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Travel exposures","Number","223","units","0","v1154449273","1.1.2.3","181","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, transmission","Number","223","units","0","v1154449274","1.1.2.4","366","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by hospitalization status","Number","223","units","0","v1154449275","1.1.2.5","9282","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, hospitalized","Number","223","units","0","v1154449276","1.1.2.6","134","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, hospitalized","Number","223","units","0","v1154449277","1.1.2.7","6751","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, hospitalized","Number","223","units","0","v1154449278","1.1.2.8","2397","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by intensive care unit admittance","Number","223","units","0","v1154449279","1.1.2.9","9282","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, intensive care unit","Number","223","units","0","v1154449280","1.1.2.10","13","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, intensive care unit","Number","223","units","0","v1154449281","1.1.2.11","6872","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, intensive care unit","Number","223","units","0","v1154449282","1.1.2.12","2397","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Total, by death status","Number","223","units","0","v1154449283","1.1.2.13","9282","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Yes, deceased","Number","223","units","0","v1154449284","1.1.2.14","0","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","No, not deceased","Number","223","units","0","v1154449285","1.1.2.15","8109","","","","0"
"2020","Canada","2016A000011124","Total, all genders","0 to 19 years","Not stated, deceased","Number","223","units","0","v1154449286","1.1.2.16","1173","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by transmission","Number","223","units","0","v1154449287","1.1.3.1","19527","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Community exposures","Number","223","units","0","v1154449288","1.1.3.2","18313","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Travel exposures","Number","223","units","0","v1154449289","1.1.3.3","650","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Not stated, transmission","Number","223","units","0","v1154449290","1.1.3.4","564","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by hospitalization status","Number","223","units","0","v1154449291","1.1.3.5","19527","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Yes, hospitalized","Number","223","units","0","v1154449292","1.1.3.6","319","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","No, hospitalized","Number","223","units","0","v1154449293","1.1.3.7","13599","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Not stated, hospitalized","Number","223","units","0","v1154449294","1.1.3.8","5609","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Total, by intensive care unit admittance","Number","223","units","0","v1154449295","1.1.3.9","19527","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","Yes, intensive care unit","Number","223","units","0","v1154449296","1.1.3.10","75","","","","0"
"2020","Canada","2016A000011124","Total, all genders","20 to 29 years","No, intensive care unit","Number","223","units","0","v1154449297","1.1.3.11","13843","","","","0"
