Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2448;8,6;1823,5;358;266,7
Anjou;729;2,6;1703,4;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;63;0,2;326;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2320;8,1;1393,2;257;154,3
Côte-Saint-Luc;538;1,9;1658;62;191,1
Dollard-des-Ormeaux;439;1,5;897,8;81;165,6
Dorval;204;0,7;1074,8;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;123;0,4;610,4;23;*114,1
Lachine;690;2,4;1550,9;99;222,5
LaSalle;1279;4,5;1664,2;181;235,5
L'Île-Bizard–Sainte-Geneviève;220;0,8;1194,8;45;244,4
Mercier–Hochelaga-Maisonneuve;2459;8,6;1807,8;374;275
Montréal Est;46;0,2;1194,8;5;n.p.
Montréal-Nord;2636;9,2;3129,4;249;295,6
Montréal-Ouest;28;0,1;*554,5;< 5;n.p.
Mont-Royal;280;1;1380,9;75;369,9
Outremont;278;1;1160,6;11;*45,9
Pierrefonds–Roxboro;572;2;825,4;36;*52
Plateau Mont-Royal;1050;3,7;1009,6;139;133,7
Pointe-Claire;234;0,8;745,7;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2220;7,8;2079,8;240;224,8
Rosemont–La Petite Patrie;1728;6;1237,9;237;169,8
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1140;4;1153,5;120;121,4
Saint-Léonard;1169;4,1;1492,9;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1005;3,5;1286;180;230,3
Verdun;1010;3,5;1458,9;158;228,2
Ville-Marie;1038;3,6;1164,1;87;97,6
Villeray–Saint-Michel–Parc-Extension;2314;8,1;1608,6;132;91,8
Westmount;194;0,7;955,1;36;*177,2
Territoire à confirmer;681;;;52;
Total à Montréal;29245;;1415,8;3461;167,5
