Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2486;8,5;1851,8;360;268,2
Anjou;734;2,5;1715,1;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;63;0,2;326;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2370;8,1;1423,3;258;154,9
Côte-Saint-Luc;544;1,9;1676,5;62;191,1
Dollard-des-Ormeaux;450;1,5;920,3;82;167,7
Dorval;204;0,7;1074,8;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;135;0,5;669,9;23;*114,1
Lachine;701;2,4;1575,7;100;224,8
LaSalle;1302;4,5;1694,1;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2489;8,6;1829,8;372;273,5
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2652;9,1;3148,4;247;293,2
Montréal-Ouest;30;0,1;*594,1;< 5;n.p.
Mont-Royal;291;1;1435,2;75;369,9
Outremont;280;1;1168,9;11;*45,9
Pierrefonds–Roxboro;585;2;844,2;39;56,3
Plateau Mont-Royal;1079;3,7;1037,5;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2247;7,7;2105,1;242;226,7
Rosemont–La Petite Patrie;1767;6,1;1265,8;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1162;4;1175,8;120;121,4
Saint-Léonard;1195;4,1;1526,1;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1056;3,6;1351,2;181;231,6
Verdun;1040;3,6;1502,3;160;231,1
Ville-Marie;1062;3,6;1191;87;97,6
Villeray–Saint-Michel–Parc-Extension;2361;8,1;1641,3;132;91,8
Westmount;197;0,7;969,9;36;*177,2
Territoire à confirmer;647;;;44;
Total à Montréal;29755;;1440,5;3467;167,8
