Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2496;8,5;1859,3;360;268,2
Anjou;739;2,5;1726,8;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2382;8,2;1430,5;259;155,5
Côte-Saint-Luc;547;1,9;1685,8;63;194,2
Dollard-des-Ormeaux;451;1,5;922,3;83;169,7
Dorval;204;0,7;1074,8;50;263,4
Hampstead;60;0,2;860,5;< 5;n.p.
Kirkland;138;0,5;684,8;23;*114,1
Lachine;703;2,4;1580,2;100;224,8
LaSalle;1300;4,5;1691,5;183;238,1
L'Île-Bizard–Sainte-Geneviève;222;0,8;1205,7;46;249,8
Mercier–Hochelaga-Maisonneuve;2493;8,5;1832,8;373;274,2
Montréal Est;49;0,2;1272,7;5;n.p.
Montréal-Nord;2659;9,1;3156,7;247;293,2
Montréal-Ouest;32;0,1;*633,7;< 5;n.p.
Mont-Royal;292;1;1440,1;75;369,9
Outremont;283;1;1181,4;11;*45,9
Pierrefonds–Roxboro;585;2;844,2;39;56,3
Plateau Mont-Royal;1088;3,7;1046,2;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2249;7,7;2106,9;242;226,7
Rosemont–La Petite Patrie;1775;6,1;1271,6;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1171;4;1184,9;120;121,4
Saint-Léonard;1206;4,1;1540,1;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1050;3,6;1343,6;182;232,9
Verdun;1033;3,5;1492,1;159;229,7
Ville-Marie;1079;3,7;1210;87;97,6
Villeray–Saint-Michel–Parc-Extension;2368;8,1;1646,1;132;91,8
Westmount;198;0,7;974,8;36;*177,2
Territoire à confirmer;654;;;44;
Total à Montréal;29863;;1445,7;3471;168
