Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2488;8,6;1853,3;360;268,2
Anjou;735;2,5;1717,5;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2373;8,2;1425,1;258;154,9
Côte-Saint-Luc;544;1,9;1676,5;62;191,1
Dollard-des-Ormeaux;449;1,5;918,2;82;167,7
Dorval;205;0,7;1080,1;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;135;0,5;669,9;23;*114,1
Lachine;701;2,4;1575,7;100;224,8
LaSalle;1296;4,5;1686,3;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2488;8,6;1829,1;372;273,5
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2653;9,1;3149,6;247;293,2
Montréal-Ouest;30;0,1;*594,1;< 5;n.p.
Mont-Royal;290;1;1430,3;75;369,9
Outremont;281;1;1173,1;11;*45,9
Pierrefonds–Roxboro;583;2;841,3;39;56,3
Plateau Mont-Royal;1081;3,7;1039,4;139;133,7
Pointe-Claire;244;0,8;777,6;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2246;7,7;2104,1;242;226,7
Rosemont–La Petite Patrie;1769;6,1;1267,3;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1165;4;1178,8;120;121,4
Saint-Léonard;1197;4,1;1528,6;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1047;3,6;1339,7;181;231,6
Verdun;1030;3,5;1487,8;159;229,7
Ville-Marie;1064;3,7;1193,2;87;97,6
Villeray–Saint-Michel–Parc-Extension;2362;8,1;1642;132;91,8
Westmount;198;0,7;974,8;36;*177,2
Territoire à confirmer;647;;;44;
Total à Montréal;29745;;1440;3466;167,8
