Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2484;8,5;1850,3;360;268,2
Anjou;734;2,5;1715,1;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;63;0,2;326;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2367;8,1;1421,5;258;154,9
Côte-Saint-Luc;544;1,9;1676,5;62;191,1
Dollard-des-Ormeaux;449;1,5;918,2;82;167,7
Dorval;204;0,7;1074,8;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;133;0,5;660;23;*114,1
Lachine;700;2,4;1573,4;100;224,8
LaSalle;1301;4,5;1692,8;183;238,1
L'Île-Bizard–Sainte-Geneviève;224;0,8;1216,5;46;249,8
Mercier–Hochelaga-Maisonneuve;2486;8,6;1827,6;372;273,5
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2651;9,1;3147,2;247;293,2
Montréal-Ouest;30;0,1;*594,1;< 5;n.p.
Mont-Royal;291;1;1435,2;75;369,9
Outremont;279;1;1164,7;11;*45,9
Pierrefonds–Roxboro;584;2;842,7;39;56,3
Plateau Mont-Royal;1076;3,7;1034,6;139;133,7
Pointe-Claire;243;0,8;774,4;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2246;7,7;2104,1;241;225,8
Rosemont–La Petite Patrie;1766;6,1;1265,1;239;171,2
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1161;4;1174,8;120;121,4
Saint-Léonard;1191;4,1;1521;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1053;3,6;1347,4;181;231,6
Verdun;1037;3,6;1497,9;159;229,7
Ville-Marie;1059;3,6;1187,6;87;97,6
Villeray–Saint-Michel–Parc-Extension;2359;8,1;1639,9;132;91,8
Westmount;197;0,7;969,9;36;*177,2
Territoire à confirmer;644;;;44;
Total à Montréal;29714;;1438,5;3465;167,7
