Arrondissement ou ville liée;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
Ahuntsic–Cartierville;2473;8,6;1842,2;358;266,7
Anjou;734;2,5;1715,1;51;119,2
Baie D'urfé;31;0,1;*810,9;< 5;n.p.
Beaconsfield;62;0,2;320,8;9;n.p.
Côte-des-Neiges–Notre-Dame-de-Grâce;2353;8,1;1413;259;155,5
Côte-Saint-Luc;543;1,9;1673,4;62;191,1
Dollard-des-Ormeaux;447;1,5;914,1;82;167,7
Dorval;206;0,7;1085,4;50;263,4
Hampstead;59;0,2;846,1;< 5;n.p.
Kirkland;124;0,4;615,4;23;*114,1
Lachine;698;2,4;1568,9;100;224,8
LaSalle;1292;4,5;1681,1;183;238,1
L'Île-Bizard–Sainte-Geneviève;223;0,8;1211,1;46;249,8
Mercier–Hochelaga-Maisonneuve;2474;8,6;1818,8;374;275
Montréal Est;48;0,2;1246,8;5;n.p.
Montréal-Nord;2649;9,2;3144,8;250;296,8
Montréal-Ouest;29;0,1;*574,3;< 5;n.p.
Mont-Royal;284;1;1400,7;75;369,9
Outremont;279;1;1164,7;11;*45,9
Pierrefonds–Roxboro;582;2;839,9;38;54,8
Plateau Mont-Royal;1069;3,7;1027,9;139;133,7
Pointe-Claire;241;0,8;768;41;130,7
Rivière-des-Prairies–Pointe-aux-Trembles;2236;7,7;2094,8;240;224,8
Rosemont–La Petite Patrie;1757;6,1;1258,7;238;170,5
Sainte-Anne-de-Bellevue;18;0,1;*363;< 5;n.p.
Saint-Laurent;1156;4;1169,7;120;121,4
Saint-Léonard;1183;4,1;1510,8;62;79,2
Senneville;< 5;0;n.p.;0;
Sud-Ouest;1035;3,6;1324,4;182;232,9
Verdun;1019;3,5;1471,9;158;228,2
Ville-Marie;1053;3,6;1180,9;87;97,6
Villeray–Saint-Michel–Parc-Extension;2349;8,1;1632,9;132;91,8
Westmount;197;0,7;969,9;36;*177,2
Territoire à confirmer;642;;;43;
Total à Montréal;29547;;1430,4;3465;167,7
