No,RSS,NoRLS,RLS,Cas,Population,Taux
1,01 - Bas-St-Laurent,0111,0111 - RLS de Kamouraska,11,20 780,"86,2"
1,01 - Bas-St-Laurent,0112,0112 - RLS de Rivière-du-Loup,30,34 800,"86,2"
1,01 - Bas-St-Laurent,0113,0113 - RLS de Témiscouata,8,19 117,"41,8"
1,01 - Bas-St-Laurent,0114,0114 - RLS des Basques,n.d.,8 529,n.d.
1,01 - Bas-St-Laurent,0115,0115 - RLS de Rimouski,16,57 630,"27,8"
1,01 - Bas-St-Laurent,0116,0116 - RLS de La Mitis,n.d.,17 978,n.d.
1,01 - Bas-St-Laurent,0117,0117 - RLS de Matane,0,20 726,"0,0"
1,01 - Bas-St-Laurent,0118,0118 - RLS de La Matapédia,n.d.,17 514,n.d.
1,01 - Bas-St-Laurent,,Total,74,197 074,"37,5"
2,02 - Saguenay – Lac-St-Jean,0211,0211 - RLS du Domaine-du-Roy,13,31 078,"41,8"
2,02 - Saguenay – Lac-St-Jean,0212,0212 - RLS de Maria-Chapdelaine,15,25 064,"59,8"
2,02 - Saguenay – Lac-St-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,44,52 298,"84,1"
2,02 - Saguenay – Lac-St-Jean,0214,0214 - RLS de Jonquière,66,67 417,"97,9"
2,02 - Saguenay – Lac-St-Jean,0215,0215 - RLS de Chicoutimi,206,79 201,"260,1"
2,02 - Saguenay – Lac-St-Jean,0216,0216 - RLS de La Baie,31,22 574,"137,3"
2,02 - Saguenay – Lac-St-Jean,,Total,376,277 632,"135,4"
3,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,74,54 895,"134,8"
3,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,1027,321 016,"319,9"
3,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,819,351 429,"233,0"
3,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,15,28 119,"53,3"
3,03 - Capitale-Nationale,,Total,2026,755 459,"268,2"
4,04 - Mauricie-et-Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,n.d.,15 020,n.d.
4,04 - Mauricie-et-Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,112,25 562,"438,2"
4,04 - Mauricie-et-Centre-du-Québec,0413,0413 - RLS de Maskinongé,252,22 961,"1 097,5"
4,04 - Mauricie-et-Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,358,64 641,"553,8"
4,04 - Mauricie-et-Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,946,143 422,"659,6"
4,04 - Mauricie-et-Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,62,44 619,"139,0"
4,04 - Mauricie-et-Centre-du-Québec,0417,0417 - RLS de Drummond,332,107 872,"307,8"
4,04 - Mauricie-et-Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,43,98 244,"43,8"
4,04 - Mauricie-et-Centre-du-Québec,,Total,2127,522 341,"407,2"
5,05 - Estrie,0511,0511 - RLS de la Pommeraie,161,56 125,"286,9"
5,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,288,105 861,"272,1"
5,05 - Estrie,0513,0513 - RLS de Memphrémagog,107,52 514,"203,8"
5,05 - Estrie,0514,0514 - RLS de Coaticook,15,18 741,"80,0"
5,05 - Estrie,0515,0515 - RLS de Sherbrooke,401,170 075,"235,8"
5,05 - Estrie,0516,0516 - RLS de Val Saint-François,78,31 490,"247,7"
5,05 - Estrie,0517,0517 - RLS d'Asbestos,48,14 257,"336,7"
5,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,55,22 749,"241,8"
5,05 - Estrie,0519,0519 - RLS du Granit,17,21 351,"79,6"
5,05 - Estrie,,Total,1177,493 163,"238,7"
6,06 - Montréal,0611,0611 - RLS de Pierrefonds - Lac Saint-Louis,1696,224 596,"755,1"
6,06 - Montréal,0612,0612 - RLS de Dorval - Lachine - Lasalle,2213,149 522,"1 480,0"
6,06 - Montréal,0621,0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest,1425,131 424,"1 084,3"
6,06 - Montréal,0622,0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension,3053,245 703,"1 242,6"
6,06 - Montréal,0631,0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles,2112,166 225,"1 270,6"
6,06 - Montréal,0632,0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc,1769,161 317,"1 096,6"
6,06 - Montréal,0641,0641 - RLS du Nord de l'Île - Saint-Laurent,1927,161 894,"1 190,3"
6,06 - Montréal,0642,0642 - RLS d'Ahuntsic - Montréal-Nord,4334,172 517,"2 512,2"
6,06 - Montréal,0643,0643 - RLS de la Petite Patrie - Villeray,1086,115 485,"940,4"
6,06 - Montréal,0651,0651 - RLS de Saint-Léonard - Saint-Michel,2498,139 162,"1 795,0"
