,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,234,12,228,6,2,0,84,148,197074,118.74,75.10,1.01
02,02 - Saguenay–Lac-Saint-Jean,384,1,284,100,26,0,354,4,277632,138.31,1.44,9.36
03,03 - Capitale-Nationale,2817,86,2619,198,202,0,2162,453,755459,372.89,59.96,26.74
04,04 - Mauricie et Centre-du-Québec,2227,8,2049,178,211,0,1950,66,522341,426.35,12.64,40.40
05,05 - Estrie,1522,13,1344,178,29,1,1350,143,493163,308.62,29.00,5.88
06,06 - Montréal,31021,58,28381,2640,3476,3,26708,837,2065657,1501.75,40.52,168.28
07,07 - Outaouais,1066,9,963,103,34,1,910,122,401032,265.81,30.42,8.48
08,08 - Abitibi-Témiscamingue,191,1,159,32,4,0,185,2,147616,129.39,1.35,2.71
09,09 - Côte-Nord,144,4,132,12,1,1,131,12,90033,159.94,13.33,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,227,4,213,14,9,0,209,9,89998,252.23,10.00,10.00
12,12 - Chaudière-Appalaches,852,21,709,143,10,0,660,182,430309,198.00,42.30,2.32
13,13 - Laval,6603,18,5604,999,679,0,5769,155,442745,1491.38,35.01,153.36
14,14 - Lanaudière,5016,6,4326,690,223,0,4689,104,520092,964.44,20.00,42.88
15,15 - Laurentides,4427,8,3845,582,272,0,4047,108,626968,706.10,17.23,43.38
16,16 - Montérégie,9848,49,9037,811,614,0,8938,296,1432751,687.35,20.66,42.85
17,17 - Nunavik,18,0,16,2,0,0,18,0,14260,126.23,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,12,0,12,0,0,0,10,2,18385,65.27,10.88,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,34,0,33,1,0,0,30,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,66653,298,59962,6691,5792,6,58214,2647,8539073,780.56,31.00,67.83
