,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,362,3,351,11,2,0,301,59,197074,183.69,29.94,1.01
02,02 - Saguenay–Lac-Saint-Jean,478,20,378,100,26,0,380,72,277632,172.17,25.93,9.36
03,03 - Capitale-Nationale,5059,265,4854,205,228,2,3632,1199,755459,669.66,158.71,30.18
04,04 - Mauricie et Centre-du-Québec,2663,57,2483,180,211,0,2105,347,522341,509.82,66.43,40.40
05,05 - Estrie,1896,25,1692,204,32,0,1645,219,493163,384.46,44.41,6.49
06,06 - Montréal,35496,329,32808,2688,3484,1,29393,2619,2065657,1718.39,126.79,168.66
07,07 - Outaouais,1514,29,1358,156,34,0,1272,208,401032,377.53,51.87,8.48
08,08 - Abitibi-Témiscamingue,209,-1,177,32,4,0,188,17,147616,141.58,11.52,2.71
09,09 - Côte-Nord,157,2,144,13,1,0,148,8,90033,174.38,8.89,1.11
10,10 - Nord-du-Québec,8,-1,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,450,9,435,15,14,0,275,161,89998,500.01,178.89,15.56
12,12 - Chaudière-Appalaches,1648,68,1457,191,24,0,1162,462,430309,382.98,107.36,5.58
13,13 - Laval,7681,173,6623,1058,690,2,6332,659,442745,1734.86,148.84,155.85
14,14 - Lanaudière,5480,36,4790,690,223,0,4969,288,520092,1053.66,55.37,42.88
15,15 - Laurentides,5068,57,4483,585,282,1,4396,390,626968,808.33,62.20,44.98
16,16 - Montérégie,11401,119,10493,908,628,0,9902,871,1432751,795.74,60.79,43.83
17,17 - Nunavik,21,0,19,2,0,0,19,2,14260,147.27,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,1,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,43,0,42,1,0,0,39,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,79650,1191,72609,7041,5884,6,66180,7586,8539073,932.77,88.84,68.91
