,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,416,1,404,12,7,0,384,25,197074,211.09,12.69,3.55
02,02 - Saguenay–Lac-Saint-Jean,847,19,741,106,34,0,543,270,277632,305.08,97.25,12.25
03,03 - Capitale-Nationale,7697,190,7477,220,268,8,5995,1434,755459,1018.85,189.82,35.48
04,04 - Mauricie et Centre-du-Québec,3705,68,3521,184,219,1,2730,756,522341,709.31,144.73,41.93
05,05 - Estrie,2405,30,2159,246,34,1,2030,341,493163,487.67,69.15,6.89
06,06 - Montréal,39935,223,37215,2720,3516,0,34199,2220,2065657,1933.28,107.47,170.21
07,07 - Outaouais,2131,20,1922,209,35,0,1829,267,401032,531.38,66.58,8.73
08,08 - Abitibi-Témiscamingue,245,2,213,32,4,0,222,19,147616,165.97,12.87,2.71
09,09 - Côte-Nord,168,1,156,12,2,1,162,4,90033,186.60,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,735,26,720,15,22,0,566,147,89998,816.68,163.34,24.44
12,12 - Chaudière-Appalaches,2782,98,2567,215,47,2,2200,535,430309,646.51,124.33,10.92
13,13 - Laval,8754,48,7658,1096,706,0,7606,442,442745,1977.21,99.83,159.46
14,14 - Lanaudière,6363,82,5671,692,225,0,5566,572,520092,1223.44,109.98,43.26
15,15 - Laurentides,5898,51,5304,594,292,1,5216,390,626968,940.72,62.20,46.57
16,16 - Montérégie,14086,212,13079,1007,662,5,11904,1520,1432751,983.14,106.09,46.20
17,17 - Nunavik,29,1,27,2,0,0,26,3,14260,203.37,21.04,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,67,0,66,1,0,0,65,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,96288,1072,88923,7365,6074,19,81267,8947,8539073,1127.62,104.78,71.13
