,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,274,9,268,6,2,0,157,115,197074,139.03,58.35,1.01
02,02 - Saguenay–Lac-Saint-Jean,399,6,299,100,26,0,357,16,277632,143.72,5.76,9.36
03,03 - Capitale-Nationale,3153,92,2956,197,206,0,2359,588,755459,417.36,77.83,27.27
04,04 - Mauricie et Centre-du-Québec,2273,14,2095,178,211,0,1969,93,522341,435.16,17.80,40.40
05,05 - Estrie,1603,16,1420,183,30,0,1416,157,493163,325.04,31.84,6.08
06,06 - Montréal,31670,142,29025,2645,3476,0,27096,1098,2065657,1533.17,53.16,168.28
07,07 - Outaouais,1157,11,1053,104,34,0,981,142,401032,288.51,35.41,8.48
08,08 - Abitibi-Témiscamingue,191,0,159,32,4,0,186,1,147616,129.39,0.68,2.71
09,09 - Côte-Nord,147,0,135,12,1,0,138,8,90033,163.27,8.89,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,247,4,232,15,9,0,214,24,89998,274.45,26.67,10.00
12,12 - Chaudière-Appalaches,1003,46,847,156,13,0,736,254,430309,233.09,59.03,3.02
13,13 - Laval,6738,50,5725,1013,681,0,5849,208,442745,1521.87,46.98,153.81
14,14 - Lanaudière,5076,10,4386,690,223,0,4738,115,520092,975.98,22.11,42.88
15,15 - Laurentides,4531,25,3949,582,273,0,4097,161,626968,722.68,25.68,43.54
16,16 - Montérégie,10076,62,9260,816,616,1,9084,376,1432751,703.26,26.24,42.99
17,17 - Nunavik,18,0,16,2,0,0,18,0,14260,126.23,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,10,3,18385,70.71,16.32,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,38,2,37,1,0,0,32,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,68617,489,61883,6734,5805,1,59447,3365,8539073,803.56,39.41,67.98
