,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,265,11,259,6,2,0,134,129,197074,134.47,65.46,1.01
02,02 - Saguenay–Lac-Saint-Jean,393,4,293,100,26,0,357,10,277632,141.55,3.60,9.36
03,03 - Capitale-Nationale,3061,158,2864,197,206,2,2298,557,755459,405.18,73.73,27.27
04,04 - Mauricie et Centre-du-Québec,2259,5,2081,178,211,0,1963,85,522341,432.48,16.27,40.40
05,05 - Estrie,1587,14,1406,181,30,1,1400,157,493163,321.80,31.84,6.08
06,06 - Montréal,31528,219,28882,2646,3476,0,26982,1070,2065657,1526.29,51.80,168.28
07,07 - Outaouais,1146,31,1041,105,34,0,959,153,401032,285.76,38.15,8.48
08,08 - Abitibi-Témiscamingue,191,0,159,32,4,0,186,1,147616,129.39,0.68,2.71
09,09 - Côte-Nord,147,1,135,12,1,0,137,9,90033,163.27,10.00,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,243,8,228,15,9,0,215,19,89998,270.01,21.11,10.00
12,12 - Chaudière-Appalaches,957,50,802,155,13,0,723,221,430309,222.40,51.36,3.02
13,13 - Laval,6688,20,5679,1009,681,0,5832,175,442745,1510.58,39.53,153.81
14,14 - Lanaudière,5066,15,4376,690,223,0,4726,117,520092,974.06,22.50,42.88
15,15 - Laurentides,4506,39,3924,582,273,0,4090,143,626968,718.70,22.81,43.54
16,16 - Montérégie,10014,76,9197,817,615,-1,9056,343,1432751,698.94,23.94,42.92
17,17 - Nunavik,18,0,16,2,0,0,18,0,14260,126.23,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,10,3,18385,70.71,16.32,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,36,1,35,1,0,0,32,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,68128,652,61398,6730,5804,2,59128,3196,8539073,797.84,37.43,67.97
