,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,585,13,573,12,11,2,474,100,197074,296.84,50.74,5.58
02,02 - Saguenay–Lac-Saint-Jean,2608,197,2496,112,71,3,1341,1196,277632,939.37,430.79,25.57
03,03 - Capitale-Nationale,9686,90,9447,239,367,5,8451,868,755459,1282.13,114.90,48.58
04,04 - Mauricie et Centre-du-Québec,5573,106,5382,191,237,0,4368,968,522341,1066.93,185.32,45.37
05,05 - Estrie,3359,73,3076,283,51,4,2715,593,493163,681.11,120.24,10.34
06,06 - Montréal,45612,325,42866,2746,3562,8,39246,2804,2065657,2208.11,135.74,172.44
07,07 - Outaouais,2862,31,2606,256,61,2,2511,290,401032,713.66,72.31,15.21
08,08 - Abitibi-Témiscamingue,256,2,224,32,4,0,244,8,147616,173.42,5.42,2.71
09,09 - Côte-Nord,175,1,163,12,2,0,168,5,90033,194.37,5.55,2.22
10,10 - Nord-du-Québec,28,1,26,2,0,0,9,19,13558,206.52,140.14,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1155,17,1140,15,30,1,948,177,89998,1283.36,196.67,33.33
12,12 - Chaudière-Appalaches,4312,57,4077,235,93,6,3643,576,430309,1002.07,133.86,21.61
13,13 - Laval,10057,76,8900,1157,716,2,8746,595,442745,2271.51,134.39,161.72
14,14 - Lanaudière,9078,138,8382,696,256,1,7364,1458,520092,1745.46,280.34,49.22
15,15 - Laurentides,7090,66,6497,593,318,2,6168,604,626968,1130.84,96.34,50.72
16,16 - Montérégie,17338,172,16206,1132,777,6,14895,1666,1432751,1210.12,116.28,54.23
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,14,0,18385,81.59,0.00,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,74,0,72,2,0,0,71,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,119894,1365,112177,7717,6557,42,101407,11930,8539073,1404.06,139.71,76.79
