,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,471,4,458,13,7,0,408,56,197074,239.00,28.42,3.55
02,02 - Saguenay–Lac-Saint-Jean,1100,51,993,107,37,0,716,347,277632,396.21,124.99,13.33
03,03 - Capitale-Nationale,8631,119,8400,231,299,9,7177,1155,755459,1142.48,152.89,39.58
04,04 - Mauricie et Centre-du-Québec,4235,87,4048,187,222,0,3323,690,522341,810.77,132.10,42.50
05,05 - Estrie,2620,21,2363,257,38,0,2277,305,493163,531.26,61.85,7.71
06,06 - Montréal,41894,245,39165,2729,3526,5,35994,2374,2065657,2028.12,114.93,170.70
07,07 - Outaouais,2371,40,2137,234,41,0,2058,272,401032,591.22,67.83,10.22
08,08 - Abitibi-Témiscamingue,248,1,216,32,4,0,234,10,147616,168.00,6.77,2.71
09,09 - Côte-Nord,172,1,160,12,1,0,166,5,90033,191.04,5.55,1.11
10,10 - Nord-du-Québec,9,-2,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,876,15,861,15,26,2,685,165,89998,973.35,183.34,28.89
12,12 - Chaudière-Appalaches,3417,66,3190,227,68,3,2723,626,430309,794.08,145.48,15.80
13,13 - Laval,9171,67,8051,1120,710,1,8055,406,442745,2071.40,91.70,160.36
14,14 - Lanaudière,7096,130,6407,689,230,0,6006,860,520092,1364.37,165.36,44.22
15,15 - Laurentides,6218,33,5622,596,302,2,5556,360,626968,991.76,57.42,48.17
16,16 - Montérégie,15203,151,14163,1040,702,3,12949,1552,1432751,1061.11,108.32,49.00
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,67,1,65,2,0,0,63,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,103844,1030,96349,7495,6214,25,88442,9188,8539073,1216.10,107.60,72.77
