,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,391,5,379,12,7,1,335,49,197074,198.40,24.86,3.55
02,02 - Saguenay–Lac-Saint-Jean,557,19,457,100,26,0,409,122,277632,200.63,43.94,9.36
03,03 - Capitale-Nationale,5919,184,5712,207,242,1,4327,1350,755459,783.50,178.70,32.03
04,04 - Mauricie et Centre-du-Québec,2932,69,2748,184,214,0,2261,457,522341,561.32,87.49,40.97
05,05 - Estrie,2028,40,1809,219,34,1,1758,236,493163,411.22,47.85,6.89
06,06 - Montréal,37119,277,34416,2703,3495,2,30975,2649,2065657,1796.96,128.24,169.20
07,07 - Outaouais,1745,53,1570,175,34,0,1419,292,401032,435.13,72.81,8.48
08,08 - Abitibi-Témiscamingue,233,10,201,32,4,0,195,34,147616,157.84,23.03,2.71
09,09 - Côte-Nord,158,-1,146,12,1,0,155,2,90033,175.49,2.22,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,564,26,549,15,18,0,334,212,89998,626.68,235.56,20.00
12,12 - Chaudière-Appalaches,2005,65,1806,199,35,3,1454,516,430309,465.94,119.91,8.13
13,13 - Laval,8103,86,7040,1063,695,3,6736,672,442745,1830.17,151.78,156.98
14,14 - Lanaudière,5719,43,5027,692,223,0,5139,357,520092,1099.61,68.64,42.88
15,15 - Laurentides,5366,51,4777,589,284,1,4658,424,626968,855.87,67.63,45.30
16,16 - Montérégie,12255,169,11306,949,637,2,10451,1167,1432751,855.35,81.45,44.46
17,17 - Nunavik,23,1,21,2,0,0,21,2,14260,161.29,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,49,0,48,1,0,0,46,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,85191,1097,78035,7156,5950,14,70696,8545,8539073,997.66,100.07,69.68
