,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,254,5,248,6,2,0,110,142,197074,128.89,72.05,1.01
02,02 - Saguenay–Lac-Saint-Jean,389,1,289,100,26,0,355,8,277632,140.11,2.88,9.36
03,03 - Capitale-Nationale,2969,92,2702,201,204,1,2263,502,755459,393.01,66.45,27.00
04,04 - Mauricie et Centre-du-Québec,2254,13,2076,178,211,0,1958,85,522341,431.52,16.27,40.40
05,05 - Estrie,1573,21,1394,179,29,0,1383,161,493163,318.96,32.65,5.88
06,06 - Montréal,31309,160,28666,2643,3476,0,26881,952,2065657,1515.69,46.09,168.28
07,07 - Outaouais,1115,22,1013,102,34,0,946,135,401032,278.03,33.66,8.48
08,08 - Abitibi-Témiscamingue,191,1,159,32,4,0,186,1,147616,129.39,0.68,2.71
09,09 - Côte-Nord,146,2,134,12,1,0,136,9,90033,162.16,10.00,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,235,7,221,14,9,0,214,12,89998,261.12,13.33,10.00
12,12 - Chaudière-Appalaches,907,19,754,153,13,2,695,199,430309,210.78,46.25,3.02
13,13 - Laval,6668,31,5662,1006,681,1,5809,178,442745,1506.06,40.20,153.81
14,14 - Lanaudière,5051,12,4361,690,223,0,4710,118,520092,971.17,22.69,42.88
15,15 - Laurentides,4467,17,3885,582,273,0,4076,118,626968,712.48,18.82,43.54
16,16 - Montérégie,9938,58,9123,815,616,1,9000,322,1432751,693.63,22.47,42.99
17,17 - Nunavik,18,0,16,2,0,0,18,0,14260,126.23,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,0,0,10,3,18385,70.71,16.32,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,35,1,34,1,0,0,32,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,67542,462,60758,6718,5802,5,58792,2948,8539073,790.98,34.52,67.95
,,,,,,,,,,,,,
