,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,386,6,374,12,6,1,327,53,197074,195.87,26.89,3.04
02,02 - Saguenay–Lac-Saint-Jean,538,11,438,100,26,0,408,104,277632,193.78,37.46,9.36
03,03 - Capitale-Nationale,5735,144,5528,207,241,6,4163,1331,755459,759.14,176.18,31.90
04,04 - Mauricie et Centre-du-Québec,2863,74,2680,183,214,2,2203,446,522341,548.11,85.38,40.97
05,05 - Estrie,1988,38,1772,216,33,0,1735,220,493163,403.11,44.61,6.69
06,06 - Montréal,36842,345,34140,2702,3493,3,30584,2765,2065657,1783.55,133.86,169.10
07,07 - Outaouais,1692,31,1518,174,34,0,1388,270,401032,421.91,67.33,8.48
08,08 - Abitibi-Témiscamingue,223,6,191,32,4,0,194,25,147616,151.07,16.94,2.71
09,09 - Côte-Nord,159,0,147,12,1,0,152,6,90033,176.60,6.66,1.11
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,538,20,523,15,18,1,314,206,89998,597.79,228.89,20.00
12,12 - Chaudière-Appalaches,1940,67,1741,199,32,3,1410,498,430309,450.84,115.73,7.44
13,13 - Laval,8017,87,6954,1063,692,1,6622,703,442745,1810.75,158.78,156.30
14,14 - Lanaudière,5676,35,4984,692,223,0,5090,363,520092,1091.35,69.80,42.88
15,15 - Laurentides,5315,54,4728,587,283,0,4598,434,626968,847.73,69.22,45.14
16,16 - Montérégie,12086,182,11145,941,635,4,10310,1141,1432751,843.55,79.64,44.32
17,17 - Nunavik,22,0,20,2,0,0,21,1,14260,154.28,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,49,2,48,1,0,0,44,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,84094,1102,76954,7140,5936,21,69586,8572,8539073,984.81,100.39,69.52
