,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,328,6,317,11,2,0,249,77,197074,166.43,39.07,1.01
02,02 - Saguenay–Lac-Saint-Jean,427,10,327,100,26,0,363,38,277632,153.80,13.69,9.36
03,03 - Capitale-Nationale,4003,169,3804,199,209,1,2863,931,755459,529.88,123.24,27.67
04,04 - Mauricie et Centre-du-Québec,2420,40,2238,182,211,0,2027,182,522341,463.30,34.84,40.40
05,05 - Estrie,1762,23,1568,194,32,1,1537,193,493163,357.29,39.14,6.49
06,06 - Montréal,33418,234,30744,2674,3479,1,27911,2028,2065657,1617.79,98.18,168.42
07,07 - Outaouais,1328,36,1186,142,34,0,1117,177,401032,331.15,44.14,8.48
08,08 - Abitibi-Témiscamingue,198,1,166,32,4,0,187,7,147616,134.13,4.74,2.71
09,09 - Côte-Nord,150,0,138,12,1,0,146,3,90033,166.61,3.33,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,357,21,342,15,11,0,223,123,89998,396.68,136.67,12.22
12,12 - Chaudière-Appalaches,1266,25,1089,177,19,1,930,317,430309,294.21,73.67,4.42
13,13 - Laval,7082,64,6037,1045,684,1,6038,360,442745,1599.57,81.31,154.49
14,14 - Lanaudière,5235,24,4545,690,223,0,4840,172,520092,1006.55,33.07,42.88
15,15 - Laurentides,4728,25,4145,583,279,1,4211,238,626968,754.11,37.96,44.50
16,16 - Montérégie,10665,121,9805,860,618,1,9378,669,1432751,744.37,46.69,43.13
17,17 - Nunavik,19,0,17,2,0,0,18,1,14260,133.24,7.01,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,41,0,40,1,0,0,35,6,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,73450,799,66529,6921,5833,7,62095,5522,8539073,860.16,64.67,68.31
