,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,548,18,536,12,9,0,464,75,197074,278.07,38.06,4.57
02,02 - Saguenay–Lac-Saint-Jean,1875,118,1767,108,53,3,1005,817,277632,675.35,294.27,19.09
03,03 - Capitale-Nationale,9266,68,9029,237,344,2,8122,800,755459,1226.54,105.90,45.54
04,04 - Mauricie et Centre-du-Québec,5120,139,4931,189,233,4,3900,987,522341,980.20,188.96,44.61
05,05 - Estrie,2998,45,2718,280,46,-1,2528,424,493163,607.91,85.98,9.33
06,06 - Montréal,44123,286,41382,2741,3547,3,38236,2340,2065657,2136.03,113.28,171.71
07,07 - Outaouais,2705,25,2453,252,55,4,2364,286,401032,674.51,71.32,13.71
08,08 - Abitibi-Témiscamingue,251,1,219,32,4,0,244,3,147616,170.04,2.03,2.71
09,09 - Côte-Nord,173,1,161,12,2,0,168,3,90033,192.15,3.33,2.22
10,10 - Nord-du-Québec,22,2,20,2,0,0,9,13,13558,162.27,95.88,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1051,13,1036,15,29,0,854,168,89998,1167.80,186.67,32.22
12,12 - Chaudière-Appalaches,3989,65,3757,232,83,2,3347,559,430309,927.01,129.91,19.29
13,13 - Laval,9656,62,8511,1145,713,1,8504,439,442745,2180.94,99.15,161.04
14,14 - Lanaudière,8255,158,7562,693,238,0,6822,1195,520092,1587.22,229.77,45.76
15,15 - Laurentides,6736,63,6143,593,314,3,5941,481,626968,1074.38,76.72,50.08
16,16 - Montérégie,16538,170,15453,1085,760,7,14213,1565,1432751,1154.28,109.23,53.04
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,71,0,69,2,0,0,66,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,113423,1234,105791,7632,6431,28,96831,10161,8539073,1328.28,118.99,75.31
