,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,369,7,358,11,4,2,309,56,197074,187.24,28.42,2.03
02,02 - Saguenay–Lac-Saint-Jean,487,9,387,100,26,0,382,79,277632,175.41,28.45,9.36
03,03 - Capitale-Nationale,5260,201,5055,205,230,2,3750,1280,755459,696.27,169.43,30.45
04,04 - Mauricie et Centre-du-Québec,2690,27,2510,180,211,0,2121,358,522341,514.99,68.54,40.40
05,05 - Estrie,1902,6,1698,204,33,1,1674,195,493163,385.67,39.54,6.69
06,06 - Montréal,35938,442,33245,2693,3487,3,29699,2752,2065657,1739.79,133.23,168.81
07,07 - Outaouais,1580,66,1421,159,34,0,1308,238,401032,393.98,59.35,8.48
08,08 - Abitibi-Témiscamingue,213,4,181,32,4,0,188,21,147616,144.29,14.23,2.71
09,09 - Côte-Nord,157,0,145,12,1,0,149,7,90033,174.38,7.77,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,477,27,462,15,15,1,292,170,89998,530.01,188.89,16.67
12,12 - Chaudière-Appalaches,1736,88,1544,192,26,2,1229,481,430309,403.43,111.78,6.04
13,13 - Laval,7779,98,6725,1054,691,1,6406,682,442745,1756.99,154.04,156.07
14,14 - Lanaudière,5568,88,4878,690,223,0,4993,352,520092,1070.58,67.68,42.88
15,15 - Laurentides,5142,74,4557,585,283,1,4437,422,626968,820.14,67.31,45.14
16,16 - Montérégie,11624,223,10705,919,630,2,10015,979,1432751,811.31,68.33,43.97
17,17 - Nunavik,21,0,19,2,0,0,19,2,14260,147.27,14.03,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,12,1,18385,76.15,5.44,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,47,4,46,1,0,0,40,7,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,81014,1364,73958,7056,5899,15,67033,8082,8539073,948.74,94.65,69.08
