,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,481,1,469,12,7,0,433,41,197074,244.07,20.80,3.55
02,02 - Saguenay–Lac-Saint-Jean,1413,105,1305,108,45,2,838,530,277632,508.95,190.90,16.21
03,03 - Capitale-Nationale,8920,80,8687,233,318,0,7668,934,755459,1180.74,123.63,42.09
04,04 - Mauricie et Centre-du-Québec,4602,87,4415,187,223,0,3580,799,522341,881.03,152.97,42.69
05,05 - Estrie,2775,42,2511,264,42,0,2377,356,493163,562.69,72.19,8.52
06,06 - Montréal,42875,224,40138,2737,3529,-1,37076,2270,2065657,2075.61,109.89,170.84
07,07 - Outaouais,2537,23,2287,250,46,1,2234,257,401032,632.62,64.08,11.47
08,08 - Abitibi-Témiscamingue,248,0,216,32,4,0,241,3,147616,168.00,2.03,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,166,4,90033,191.04,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,951,17,936,15,27,0,755,169,89998,1056.69,187.78,30.00
12,12 - Chaudière-Appalaches,3667,63,3436,231,73,2,3033,561,430309,852.18,130.37,16.96
13,13 - Laval,9376,34,8243,1133,711,0,8281,384,442745,2117.70,86.73,160.59
14,14 - Lanaudière,7612,140,6921,691,232,0,6351,1029,520092,1463.59,197.85,44.61
15,15 - Laurentides,6429,46,5837,592,304,0,5732,393,626968,1025.41,62.68,48.49
16,16 - Montérégie,15835,173,14783,1052,719,7,13512,1604,1432751,1105.22,111.95,50.18
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,1,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,70,1,68,2,0,0,66,4,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,108018,1037,100463,7555,6283,11,92396,9339,8539073,1264.99,109.37,73.58
