,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,490,3,478,12,8,1,448,34,197074,248.64,17.25,4.06
02,02 - Saguenay–Lac-Saint-Jean,1656,109,1548,108,49,2,961,646,277632,596.47,232.68,17.65
03,03 - Capitale-Nationale,9143,80,8907,236,337,5,7953,853,755459,1210.26,112.91,44.61
04,04 - Mauricie et Centre-du-Québec,4865,107,4676,189,229,1,3773,863,522341,931.38,165.22,43.84
05,05 - Estrie,2903,65,2632,271,45,2,2449,409,493163,588.65,82.93,9.12
06,06 - Montréal,43550,261,40812,2738,3541,3,37726,2283,2065657,2108.29,110.52,171.42
07,07 - Outaouais,2646,29,2396,250,51,3,2313,282,401032,659.80,70.32,12.72
08,08 - Abitibi-Témiscamingue,249,1,217,32,4,0,244,1,147616,168.68,0.68,2.71
09,09 - Côte-Nord,172,0,160,12,2,0,168,2,90033,191.04,2.22,2.22
10,10 - Nord-du-Québec,14,3,12,2,0,0,9,5,13558,103.26,36.88,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1014,14,999,15,28,0,818,168,89998,1126.69,186.67,31.11
12,12 - Chaudière-Appalaches,3859,52,3627,232,81,2,3209,569,430309,896.80,132.23,18.82
13,13 - Laval,9544,75,8401,1143,711,0,8389,444,442745,2155.64,100.28,160.59
14,14 - Lanaudière,7993,162,7301,692,237,3,6592,1164,520092,1536.84,223.81,45.57
15,15 - Laurentides,6606,61,6013,593,310,1,5852,444,626968,1053.64,70.82,49.44
16,16 - Montérégie,16236,116,15168,1068,744,5,13871,1621,1432751,1133.20,113.14,51.93
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,15,0,15,0,1,0,13,1,18385,81.59,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,70,0,68,2,0,0,65,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,111056,1138,103459,7597,6378,28,94884,9794,8539073,1300.56,114.70,74.69
