,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,249,15,243,6,2,0,91,156,197074,126.35,79.16,1.01
02,02 - Saguenay–Lac-Saint-Jean,388,4,288,100,26,0,354,8,277632,139.75,2.88,9.36
03,03 - Capitale-Nationale,2877,60,2677,200,203,1,2216,458,755459,380.83,60.63,26.87
04,04 - Mauricie et Centre-du-Québec,2241,14,2063,178,211,0,1952,78,522341,429.03,14.93,40.40
05,05 - Estrie,1552,30,1373,179,29,0,1362,161,493163,314.70,32.65,5.88
06,06 - Montréal,31149,128,28510,2639,3476,0,26787,886,2065657,1507.95,42.89,168.28
07,07 - Outaouais,1093,27,993,100,34,0,929,130,401032,272.55,32.42,8.48
08,08 - Abitibi-Témiscamingue,190,-1,158,32,4,0,185,1,147616,128.71,0.68,2.71
09,09 - Côte-Nord,144,0,132,12,1,0,133,10,90033,159.94,11.11,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,228,1,214,14,9,0,211,8,89998,253.34,8.89,10.00
12,12 - Chaudière-Appalaches,888,36,741,147,11,1,679,198,430309,206.36,46.01,2.56
13,13 - Laval,6637,34,5629,1008,680,1,5789,168,442745,1499.06,37.95,153.59
14,14 - Lanaudière,5039,23,4349,690,223,0,4698,118,520092,968.87,22.69,42.88
15,15 - Laurentides,4450,23,3868,582,273,1,4059,118,626968,709.77,18.82,43.54
16,16 - Montérégie,9880,32,9067,813,615,1,8971,294,1432751,689.58,20.52,42.92
17,17 - Nunavik,18,0,16,2,0,0,18,0,14260,126.23,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,1,13,0,0,0,10,3,18385,70.71,16.32,0.00
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,34,0,33,1,0,0,32,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,67080,427,60375,6705,5797,5,58486,2797,8539073,785.57,32.76,67.89
