,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,657,19,645,12,14,1,538,105,197074,333.38,53.28,7.10
02,02 - Saguenay–Lac-Saint-Jean,3820,213,3687,133,87,2,2579,1154,277632,1375.92,415.66,31.34
03,03 - Capitale-Nationale,10504,138,10260,244,400,3,9023,1081,755459,1390.41,143.09,52.95
04,04 - Mauricie et Centre-du-Québec,6164,59,5967,197,244,1,5144,776,522341,1180.07,148.56,46.71
05,05 - Estrie,3910,69,3617,293,52,0,3268,590,493163,792.84,119.64,10.54
06,06 - Montréal,47909,294,45155,2754,3589,3,41469,2851,2065657,2319.31,138.02,173.75
07,07 - Outaouais,3215,32,2951,264,70,2,2761,384,401032,801.68,95.75,17.45
08,08 - Abitibi-Témiscamingue,258,0,226,32,4,0,250,4,147616,174.78,2.71,2.71
09,09 - Côte-Nord,192,7,180,12,2,0,173,17,90033,213.26,18.88,2.22
10,10 - Nord-du-Québec,52,5,50,2,0,0,28,24,13558,383.54,177.02,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1285,12,1267,18,37,0,1074,174,89998,1427.81,193.34,41.11
12,12 - Chaudière-Appalaches,4812,42,4576,236,114,3,4213,485,430309,1118.27,112.71,26.49
13,13 - Laval,10648,68,9465,1183,719,0,9341,588,442745,2405.00,132.81,162.40
14,14 - Lanaudière,10127,105,9432,695,293,9,8512,1322,520092,1947.16,254.19,56.34
15,15 - Laurentides,7512,37,6917,595,328,0,6700,484,626968,1198.15,77.20,52.32
16,16 - Montérégie,18509,159,17335,1174,820,6,16133,1556,1432751,1291.85,108.60,57.23
17,17 - Nunavik,29,0,27,2,0,0,29,0,14260,203.37,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,16,0,16,0,1,0,14,1,18385,87.03,5.44,5.44
98,Inconnu,3,0,3,0,0,0,3,0,           .,         .  ,         .  ,         .  
99,Hors Québec,77,0,75,2,0,0,74,3,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,129699,1259,121851,7848,6774,30,111326,11599,8539073,1518.89,135.83,79.33
