,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,333,3,322,11,2,0,263,68,197074,168.97,34.50,1.01
02,02 - Saguenay–Lac-Saint-Jean,443,10,343,100,26,0,367,50,277632,159.56,18.01,9.36
03,03 - Capitale-Nationale,4265,128,4064,201,216,7,3093,956,755459,564.56,126.55,28.59
04,04 - Mauricie et Centre-du-Québec,2468,36,2286,182,211,0,2043,214,522341,472.49,40.97,40.40
05,05 - Estrie,1798,28,1602,196,32,0,1559,207,493163,364.59,41.97,6.49
06,06 - Montréal,34055,319,31373,2682,3481,1,28278,2296,2065657,1648.63,111.15,168.52
07,07 - Outaouais,1391,36,1240,151,34,0,1161,196,401032,346.86,48.87,8.48
08,08 - Abitibi-Témiscamingue,207,7,174,33,4,0,188,15,147616,140.23,10.16,2.71
09,09 - Côte-Nord,152,1,139,13,1,0,146,5,90033,168.83,5.55,1.11
10,10 - Nord-du-Québec,8,0,6,2,0,0,8,0,13558,59.01,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,384,18,369,15,14,3,238,132,89998,426.68,146.67,15.56
12,12 - Chaudière-Appalaches,1391,68,1207,184,19,0,998,374,430309,323.26,86.91,4.42
13,13 - Laval,7233,73,6191,1042,685,1,6108,440,442745,1633.67,99.38,154.72
14,14 - Lanaudière,5307,32,4617,690,223,0,4861,223,520092,1020.40,42.88,42.88
15,15 - Laurentides,4838,63,4253,585,280,1,4281,277,626968,771.65,44.18,44.66
16,16 - Montérégie,10870,108,9988,882,621,3,9483,766,1432751,758.68,53.46,43.34
17,17 - Nunavik,21,2,19,2,0,0,18,3,14260,147.27,21.04,0.00
18,18 - Terres-Cries-de-la-Baie-James,13,0,13,0,1,0,12,0,18385,70.71,0.00,5.44
98,Inconnu,2,0,2,0,0,0,2,0,           .,         .  ,         .  ,         .  
99,Hors Québec,42,1,41,1,0,0,37,5,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,75221,933,68249,6972,5850,16,63144,6227,8539073,880.90,72.92,68.51
