,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2020,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,438,12,426,12,7,0,391,40,197074,222.25,20.30,3.55
02,02 - Saguenay–Lac-Saint-Jean,922,32,815,107,34,0,588,300,277632,332.09,108.06,12.25
03,03 - Capitale-Nationale,8117,135,7893,224,285,7,6470,1362,755459,1074.45,180.29,37.73
04,04 - Mauricie et Centre-du-Québec,3912,79,3728,184,222,0,2891,799,522341,748.94,152.97,42.50
05,05 - Estrie,2473,26,2226,247,35,1,2123,315,493163,501.46,63.87,7.10
06,06 - Montréal,40723,253,38001,2722,3514,0,34808,2401,2065657,1971.43,116.23,170.12
07,07 - Outaouais,2223,35,2001,222,38,1,1914,271,401032,554.32,67.58,9.48
08,08 - Abitibi-Témiscamingue,247,1,215,32,4,0,228,15,147616,167.33,10.16,2.71
09,09 - Côte-Nord,170,1,158,12,2,0,164,4,90033,188.82,4.44,2.22
10,10 - Nord-du-Québec,9,0,7,2,0,0,9,0,13558,66.38,0.00,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,792,20,777,15,22,0,617,153,89998,880.02,170.00,24.44
12,12 - Chaudière-Appalaches,3049,91,2833,216,54,5,2367,628,430309,708.56,145.94,12.55
13,13 - Laval,8930,60,7824,1106,706,0,7792,432,442745,2016.96,97.57,159.46
14,14 - Lanaudière,6616,87,5924,692,227,2,5704,685,520092,1272.08,131.71,43.65
15,15 - Laurentides,6010,43,5416,594,298,4,5345,367,626968,958.58,58.54,47.53
16,16 - Montérégie,14495,134,13476,1019,683,6,12303,1509,1432751,1011.69,105.32,47.67
17,17 - Nunavik,28,0,26,2,0,0,28,0,14260,196.35,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,14,0,14,0,1,0,13,0,18385,76.15,0.00,5.44
98,Inconnu,3,0,3,0,0,0,2,1,           .,         .  ,         .  ,         .  
99,Hors Québec,64,0,63,1,0,0,62,2,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,99235,1009,91826,7409,6132,26,83819,9284,8539073,1162.13,108.72,71.81
